"Orbit","pattern","SQI","qcost","Bit String","# literals","Group","Group Size","Sig","Number sig","Literal sig","ep","held","locked","transfer","#ep=1","#ep=0","#held=1","#held=0","#locked=1","#locked=0","#transfer=1","#transfer=0","#forall","#exists"
"23","2","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE0)","3","-1------------------1-----------------------","2","10","20","1000100010","1000100010","e1l1","-1------------","--","----1---------","--------------","1","0","0","0","1","0","0","0","1","0"
"24","2","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch3(NODE0)","3","-1--------------------1---------------------","2","10","20","1000100010","1000100010","e1l1","-1------------","--","------1-------","--------------","1","0","0","0","1","0","0","0","1","0"
"25","2","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch4(NODE0)","3","-1----------------------1-------------------","2","10","20","1000100010","1000100010","e1l1","-1------------","--","--------1-----","--------------","1","0","0","0","1","0","0","0","1","0"
"26","2","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch5(NODE0)","3","-1------------------------1-----------------","2","10","20","1000100010","1000100010","e1l1","-1------------","--","----------1---","--------------","1","0","0","0","1","0","0","0","1","0"
"27","2","forall NODE0. ~ep_epoch1(NODE0) | ~locked_epoch6(NODE0)","3","-1--------------------------1---------------","2","10","20","1000100010","1000100010","e1l1","-1------------","--","------------1-","--------------","1","0","0","0","1","0","0","0","1","0"
"28","1","exists NODE0. ~ep_epoch2(NODE0)","2","--1------1----------------------------------","1","5","7","e1","2000000001","e1","--1------1----","--","--------------","--------------","2","0","0","0","0","0","0","0","0","1"
"29","2","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch3(NODE0)","3","--11----------------------------------------","2","13","21","2000000010","2000000010","e1","--11----------","--","--------------","--------------","2","0","0","0","0","0","0","0","1","0"
"30","2","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch4(NODE0)","3","--1-1---------------------------------------","2","13","21","2000000010","2000000010","e1","--1-1---------","--","--------------","--------------","2","0","0","0","0","0","0","0","1","0"
"31","2","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch5(NODE0)","3","--1--1--------------------------------------","2","13","21","2000000010","2000000010","e1","--1--1--------","--","--------------","--------------","2","0","0","0","0","0","0","0","1","0"
"32","2","forall NODE0. ~ep_epoch2(NODE0) | ~ep_epoch6(NODE0)","3","--1---1-------------------------------------","2","13","21","2000000010","2000000010","e1","--1---1-------","--","--------------","--------------","2","0","0","0","0","0","0","0","1","0"
"33","2","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ~locked_epoch2(NODE1) | NODE0 = NODE1","5","--1------------------1----------------------","3","33","5","1000100020","1000100020","e1l1","--1-----------","--","-----1--------","--------------","1","0","0","0","1","0","0","0","2","0"
"34","2","forall NODE0. ~ep_epoch2(NODE0) | ~locked_epoch3(NODE0)","3","--1-------------------1---------------------","2","10","20","1000100010","1000100010","e1l1","--1-----------","--","------1-------","--------------","1","0","0","0","1","0","0","0","1","0"
"35","2","forall NODE0. ~ep_epoch2(NODE0) | ~locked_epoch4(NODE0)","3","--1---------------------1-------------------","2","10","20","1000100010","1000100010","e1l1","--1-----------","--","--------1-----","--------------","1","0","0","0","1","0","0","0","1","0"
"36","2","forall NODE0. ~ep_epoch2(NODE0) | ~locked_epoch5(NODE0)","3","--1-----------------------1-----------------","2","10","20","1000100010","1000100010","e1l1","--1-----------","--","----------1---","--------------","1","0","0","0","1","0","0","0","1","0"
"37","2","forall NODE0. ~ep_epoch2(NODE0) | ~locked_epoch6(NODE0)","3","--1-------------------------1---------------","2","10","20","1000100010","1000100010","e1l1","--1-----------","--","------------1-","--------------","1","0","0","0","1","0","0","0","1","0"
"38","2","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","--1-------------------------------1---------","2","22","15","1000001020","1000001020","e1t1","--1-----------","--","--------------","----1---------","1","0","0","0","0","0","1","0","2","0"
"39","2","forall NODE0. ~ep_epoch2(NODE0) | locked_epoch2(NODE0)","3","--1-----------------0-----------------------","2","9","5","1000010010","1000010010","e1l0","--1-----------","--","----0---------","--------------","1","0","0","0","0","1","0","0","1","0"
"40","1","exists NODE0. ~ep_epoch3(NODE0)","2","---1------1---------------------------------","1","5","7","e1","2000000001","e1","---1------1---","--","--------------","--------------","2","0","0","0","0","0","0","0","0","1"
"41","2","forall NODE0. ~ep_epoch3(NODE0) | ~ep_epoch4(NODE0)","3","---11---------------------------------------","2","13","21","2000000010","2000000010","e1","---11---------","--","--------------","--------------","2","0","0","0","0","0","0","0","1","0"
"42","2","forall NODE0. ~ep_epoch3(NODE0) | ~ep_epoch5(NODE0)","3","---1-1--------------------------------------","2","13","21","2000000010","2000000010","e1","---1-1--------","--","--------------","--------------","2","0","0","0","0","0","0","0","1","0"
"43","2","forall NODE0. ~ep_epoch3(NODE0) | ~ep_epoch6(NODE0)","3","---1--1-------------------------------------","2","13","21","2000000010","2000000010","e1","---1--1-------","--","--------------","--------------","2","0","0","0","0","0","0","0","1","0"
"44","2","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~locked_epoch3(NODE1) | NODE0 = NODE1","5","---1-------------------1--------------------","3","33","5","1000100020","1000100020","e1l1","---1----------","--","-------1------","--------------","1","0","0","0","1","0","0","0","2","0"
"45","2","forall NODE0. ~ep_epoch3(NODE0) | ~locked_epoch4(NODE0)","3","---1--------------------1-------------------","2","10","20","1000100010","1000100010","e1l1","---1----------","--","--------1-----","--------------","1","0","0","0","1","0","0","0","1","0"
"46","2","forall NODE0. ~ep_epoch3(NODE0) | ~locked_epoch5(NODE0)","3","---1----------------------1-----------------","2","10","20","1000100010","1000100010","e1l1","---1----------","--","----------1---","--------------","1","0","0","0","1","0","0","0","1","0"
"47","2","forall NODE0. ~ep_epoch3(NODE0) | ~locked_epoch6(NODE0)","3","---1------------------------1---------------","2","10","20","1000100010","1000100010","e1l1","---1----------","--","------------1-","--------------","1","0","0","0","1","0","0","0","1","0"
"48","2","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~transfer_epoch2(NODE1)","4","---1------------------------------1---------","2","22","15","1000001020","1000001020","e1t1","---1----------","--","--------------","----1---------","1","0","0","0","0","0","1","0","2","0"
"49","2","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~transfer_epoch3(NODE1)","4","---1--------------------------------1-------","2","22","15","1000001020","1000001020","e1t1","---1----------","--","--------------","------1-------","1","0","0","0","0","0","1","0","2","0"
"50","2","forall NODE0. ~ep_epoch3(NODE0) | locked_epoch3(NODE0)","3","---1------------------0---------------------","2","9","5","1000010010","1000010010","e1l0","---1----------","--","------0-------","--------------","1","0","0","0","0","1","0","0","1","0"
"51","1","exists NODE0. ~ep_epoch4(NODE0)","2","----1------1--------------------------------","1","5","7","e1","2000000001","e1","----1------1--","--","--------------","--------------","2","0","0","0","0","0","0","0","0","1"
"52","2","forall NODE0. ~ep_epoch4(NODE0) | ~ep_epoch5(NODE0)","3","----11--------------------------------------","2","13","21","2000000010","2000000010","e1","----11--------","--","--------------","--------------","2","0","0","0","0","0","0","0","1","0"
"53","2","forall NODE0. ~ep_epoch4(NODE0) | ~ep_epoch6(NODE0)","3","----1-1-------------------------------------","2","13","21","2000000010","2000000010","e1","----1-1-------","--","--------------","--------------","2","0","0","0","0","0","0","0","1","0"
"54","2","forall NODE1,NODE0. ~ep_epoch4(NODE0) | ~locked_epoch4(NODE1) | NODE0 = NODE1","5","----1--------------------1------------------","3","33","5","1000100020","1000100020","e1l1","----1---------","--","---------1----","--------------","1","0","0","0","1","0","0","0","2","0"
"55","2","forall NODE0. ~ep_epoch4(NODE0) | ~locked_epoch5(NODE0)","3","----1---------------------1-----------------","2","10","20","1000100010","1000100010","e1l1","----1---------","--","----------1---","--------------","1","0","0","0","1","0","0","0","1","0"
"56","2","forall NODE0. ~ep_epoch4(NODE0) | ~locked_epoch6(NODE0)","3","----1-----------------------1---------------","2","10","20","1000100010","1000100010","e1l1","----1---------","--","------------1-","--------------","1","0","0","0","1","0","0","0","1","0"
"57","2","forall NODE1,NODE0. ~ep_epoch4(NODE0) | ~transfer_epoch2(NODE1)","4","----1-----------------------------1---------","2","22","15","1000001020","1000001020","e1t1","----1---------","--","--------------","----1---------","1","0","0","0","0","0","1","0","2","0"
"58","2","forall NODE1,NODE0. ~ep_epoch4(NODE0) | ~transfer_epoch3(NODE1)","4","----1-------------------------------1-------","2","22","15","1000001020","1000001020","e1t1","----1---------","--","--------------","------1-------","1","0","0","0","0","0","1","0","2","0"
"59","2","forall NODE1,NODE0. ~ep_epoch4(NODE0) | ~transfer_epoch4(NODE1)","4","----1---------------------------------1-----","2","22","15","1000001020","1000001020","e1t1","----1---------","--","--------------","--------1-----","1","0","0","0","0","0","1","0","2","0"
"60","2","forall NODE0. ~ep_epoch4(NODE0) | locked_epoch4(NODE0)","3","----1-------------------0-------------------","2","9","5","1000010010","1000010010","e1l0","----1---------","--","--------0-----","--------------","1","0","0","0","0","1","0","0","1","0"
"61","1","exists NODE0. ~ep_epoch5(NODE0)","2","-----1------1-------------------------------","1","5","7","e1","2000000001","e1","-----1------1-","--","--------------","--------------","2","0","0","0","0","0","0","0","0","1"
"62","2","forall NODE0. ~ep_epoch5(NODE0) | ~ep_epoch6(NODE0)","3","-----11-------------------------------------","2","13","21","2000000010","2000000010","e1","-----11-------","--","--------------","--------------","2","0","0","0","0","0","0","0","1","0"
"63","2","forall NODE1,NODE0. ~ep_epoch5(NODE0) | ~locked_epoch5(NODE1) | NODE0 = NODE1","5","-----1---------------------1----------------","3","33","5","1000100020","1000100020","e1l1","-----1--------","--","-----------1--","--------------","1","0","0","0","1","0","0","0","2","0"
"64","2","forall NODE0. ~ep_epoch5(NODE0) | ~locked_epoch6(NODE0)","3","-----1----------------------1---------------","2","10","20","1000100010","1000100010","e1l1","-----1--------","--","------------1-","--------------","1","0","0","0","1","0","0","0","1","0"
"65","2","forall NODE1,NODE0. ~ep_epoch5(NODE0) | ~transfer_epoch2(NODE1)","4","-----1----------------------------1---------","2","22","15","1000001020","1000001020","e1t1","-----1--------","--","--------------","----1---------","1","0","0","0","0","0","1","0","2","0"
"66","2","forall NODE1,NODE0. ~ep_epoch5(NODE0) | ~transfer_epoch3(NODE1)","4","-----1------------------------------1-------","2","22","15","1000001020","1000001020","e1t1","-----1--------","--","--------------","------1-------","1","0","0","0","0","0","1","0","2","0"
"67","2","forall NODE1,NODE0. ~ep_epoch5(NODE0) | ~transfer_epoch4(NODE1)","4","-----1--------------------------------1-----","2","22","15","1000001020","1000001020","e1t1","-----1--------","--","--------------","--------1-----","1","0","0","0","0","0","1","0","2","0"
"68","2","forall NODE1,NODE0. ~ep_epoch5(NODE0) | ~transfer_epoch5(NODE1)","4","-----1----------------------------------1---","2","22","15","1000001020","1000001020","e1t1","-----1--------","--","--------------","----------1---","1","0","0","0","0","0","1","0","2","0"
"69","2","forall NODE0. ~ep_epoch5(NODE0) | locked_epoch5(NODE0)","3","-----1--------------------0-----------------","2","9","5","1000010010","1000010010","e1l0","-----1--------","--","----------0---","--------------","1","0","0","0","0","1","0","0","1","0"
"70","1","exists NODE0. ~ep_epoch6(NODE0)","2","------1------1------------------------------","1","5","7","e1","2000000001","e1","------1------1","--","--------------","--------------","2","0","0","0","0","0","0","0","0","1"
"71","2","forall NODE1,NODE0. ~ep_epoch6(NODE0) | ~held(NODE1) | NODE0 = NODE1","5","------1--------1----------------------------","3","34","1","1010000020","1010000020","e1h1","------1-------","-1","--------------","--------------","1","0","1","0","0","0","0","0","2","0"
"72","2","forall NODE1,NODE0. ~ep_epoch6(NODE0) | ~locked_epoch6(NODE1) | NODE0 = NODE1","5","------1----------------------1--------------","3","33","5","1000100020","1000100020","e1l1","------1-------","--","-------------1","--------------","1","0","0","0","1","0","0","0","2","0"
"73","2","forall NODE1,NODE0. ~ep_epoch6(NODE0) | ~transfer_epoch2(NODE1)","4","------1---------------------------1---------","2","22","15","1000001020","1000001020","e1t1","------1-------","--","--------------","----1---------","1","0","0","0","0","0","1","0","2","0"
"74","2","forall NODE1,NODE0. ~ep_epoch6(NODE0) | ~transfer_epoch3(NODE1)","4","------1-----------------------------1-------","2","22","15","1000001020","1000001020","e1t1","------1-------","--","--------------","------1-------","1","0","0","0","0","0","1","0","2","0"
"75","2","forall NODE1,NODE0. ~ep_epoch6(NODE0) | ~transfer_epoch4(NODE1)","4","------1-------------------------------1-----","2","22","15","1000001020","1000001020","e1t1","------1-------","--","--------------","--------1-----","1","0","0","0","0","0","1","0","2","0"
"76","2","forall NODE1,NODE0. ~ep_epoch6(NODE0) | ~transfer_epoch5(NODE1)","4","------1---------------------------------1---","2","22","15","1000001020","1000001020","e1t1","------1-------","--","--------------","----------1---","1","0","0","0","0","0","1","0","2","0"
"77","2","forall NODE1,NODE0. ~ep_epoch6(NODE0) | ~transfer_epoch6(NODE1)","4","------1-----------------------------------1-","2","22","15","1000001020","1000001020","e1t1","------1-------","--","--------------","------------1-","1","0","0","0","0","0","1","0","2","0"
"78","2","forall NODE0. ~ep_epoch6(NODE0) | held(NODE0)","3","------1-------0-----------------------------","2","11","1","1001000010","1001000010","e1h0","------1-------","0-","--------------","--------------","1","0","0","1","0","0","0","0","1","0"
"79","2","forall NODE0. ~ep_epoch6(NODE0) | locked_epoch6(NODE0)","3","------1---------------------0---------------","2","9","5","1000010010","1000010010","e1l0","------1-------","--","------------0-","--------------","1","0","0","0","0","1","0","0","1","0"
"80","1","exists NODE0. ~held(NODE0)","2","--------------11----------------------------","1","4","1","h1","0020000001","h1","--------------","11","--------------","--------------","0","0","2","0","0","0","0","0","0","1"
"81","2","forall NODE1,NODE0. ~held(NODE0) | ~locked_epoch6(NODE1) | NODE0 = NODE1","5","--------------1--------------1--------------","3","24","1","0010100020","0010100020","h1l1","--------------","1-","-------------1","--------------","0","0","1","0","1","0","0","0","2","0"
"82","2","forall NODE1,NODE0. ~held(NODE0) | ~transfer_epoch2(NODE1)","4","--------------1-------------------1---------","2","17","5","0010001020","0010001020","h1t1","--------------","1-","--------------","----1---------","0","0","1","0","0","0","1","0","2","0"
"83","2","forall NODE1,NODE0. ~held(NODE0) | ~transfer_epoch3(NODE1)","4","--------------1---------------------1-------","2","17","5","0010001020","0010001020","h1t1","--------------","1-","--------------","------1-------","0","0","1","0","0","0","1","0","2","0"
"84","2","forall NODE1,NODE0. ~held(NODE0) | ~transfer_epoch4(NODE1)","4","--------------1-----------------------1-----","2","17","5","0010001020","0010001020","h1t1","--------------","1-","--------------","--------1-----","0","0","1","0","0","0","1","0","2","0"
"85","2","forall NODE1,NODE0. ~held(NODE0) | ~transfer_epoch5(NODE1)","4","--------------1-------------------------1---","2","17","5","0010001020","0010001020","h1t1","--------------","1-","--------------","----------1---","0","0","1","0","0","0","1","0","2","0"
"86","2","forall NODE1,NODE0. ~held(NODE0) | ~transfer_epoch6(NODE1)","4","--------------1---------------------------1-","2","17","5","0010001020","0010001020","h1t1","--------------","1-","--------------","------------1-","0","0","1","0","0","0","1","0","2","0"
"87","1","exists NODE0. ~locked_epoch2(NODE0)","2","--------------------11----------------------","1","3","5","l1","0000200001","l1","--------------","--","----11--------","--------------","0","0","0","0","2","0","0","0","0","1"
"88","2","forall NODE1,NODE0. ~locked_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","--------------------1-------------1---------","2","15","15","0000101020","0000101020","l1t1","--------------","--","----1---------","----1---------","0","0","0","0","1","0","1","0","2","0"
"89","1","exists NODE0. ~locked_epoch3(NODE0)","2","----------------------11--------------------","1","3","5","l1","0000200001","l1","--------------","--","------11------","--------------","0","0","0","0","2","0","0","0","0","1"
"90","2","forall NODE1,NODE0. ~locked_epoch3(NODE0) | ~transfer_epoch2(NODE1)","4","----------------------1-----------1---------","2","15","15","0000101020","0000101020","l1t1","--------------","--","------1-------","----1---------","0","0","0","0","1","0","1","0","2","0"
"91","2","forall NODE1,NODE0. ~locked_epoch3(NODE0) | ~transfer_epoch3(NODE1)","4","----------------------1-------------1-------","2","15","15","0000101020","0000101020","l1t1","--------------","--","------1-------","------1-------","0","0","0","0","1","0","1","0","2","0"
"92","1","exists NODE0. ~locked_epoch4(NODE0)","2","------------------------11------------------","1","3","5","l1","0000200001","l1","--------------","--","--------11----","--------------","0","0","0","0","2","0","0","0","0","1"
"93","2","forall NODE1,NODE0. ~locked_epoch4(NODE0) | ~transfer_epoch2(NODE1)","4","------------------------1---------1---------","2","15","15","0000101020","0000101020","l1t1","--------------","--","--------1-----","----1---------","0","0","0","0","1","0","1","0","2","0"
"94","2","forall NODE1,NODE0. ~locked_epoch4(NODE0) | ~transfer_epoch3(NODE1)","4","------------------------1-----------1-------","2","15","15","0000101020","0000101020","l1t1","--------------","--","--------1-----","------1-------","0","0","0","0","1","0","1","0","2","0"
"95","2","forall NODE1,NODE0. ~locked_epoch4(NODE0) | ~transfer_epoch4(NODE1)","4","------------------------1-------------1-----","2","15","15","0000101020","0000101020","l1t1","--------------","--","--------1-----","--------1-----","0","0","0","0","1","0","1","0","2","0"
"96","1","exists NODE0. ~locked_epoch5(NODE0)","2","--------------------------11----------------","1","3","5","l1","0000200001","l1","--------------","--","----------11--","--------------","0","0","0","0","2","0","0","0","0","1"
"97","2","forall NODE1,NODE0. ~locked_epoch5(NODE0) | ~transfer_epoch2(NODE1)","4","--------------------------1-------1---------","2","15","15","0000101020","0000101020","l1t1","--------------","--","----------1---","----1---------","0","0","0","0","1","0","1","0","2","0"
"98","2","forall NODE1,NODE0. ~locked_epoch5(NODE0) | ~transfer_epoch3(NODE1)","4","--------------------------1---------1-------","2","15","15","0000101020","0000101020","l1t1","--------------","--","----------1---","------1-------","0","0","0","0","1","0","1","0","2","0"
"99","2","forall NODE1,NODE0. ~locked_epoch5(NODE0) | ~transfer_epoch4(NODE1)","4","--------------------------1-----------1-----","2","15","15","0000101020","0000101020","l1t1","--------------","--","----------1---","--------1-----","0","0","0","0","1","0","1","0","2","0"
"100","2","forall NODE1,NODE0. ~locked_epoch5(NODE0) | ~transfer_epoch5(NODE1)","4","--------------------------1-------------1---","2","15","15","0000101020","0000101020","l1t1","--------------","--","----------1---","----------1---","0","0","0","0","1","0","1","0","2","0"
"101","1","exists NODE0. ~locked_epoch6(NODE0)","2","----------------------------11--------------","1","3","5","l1","0000200001","l1","--------------","--","------------11","--------------","0","0","0","0","2","0","0","0","0","1"
"102","2","forall NODE1,NODE0. ~locked_epoch6(NODE0) | ~transfer_epoch2(NODE1)","4","----------------------------1-----1---------","2","15","15","0000101020","0000101020","l1t1","--------------","--","------------1-","----1---------","0","0","0","0","1","0","1","0","2","0"
"103","2","forall NODE1,NODE0. ~locked_epoch6(NODE0) | ~transfer_epoch3(NODE1)","4","----------------------------1-------1-------","2","15","15","0000101020","0000101020","l1t1","--------------","--","------------1-","------1-------","0","0","0","0","1","0","1","0","2","0"
"104","2","forall NODE1,NODE0. ~locked_epoch6(NODE0) | ~transfer_epoch4(NODE1)","4","----------------------------1---------1-----","2","15","15","0000101020","0000101020","l1t1","--------------","--","------------1-","--------1-----","0","0","0","0","1","0","1","0","2","0"
"105","2","forall NODE1,NODE0. ~locked_epoch6(NODE0) | ~transfer_epoch5(NODE1)","4","----------------------------1-----------1---","2","15","15","0000101020","0000101020","l1t1","--------------","--","------------1-","----------1---","0","0","0","0","1","0","1","0","2","0"
"106","2","forall NODE1,NODE0. ~locked_epoch6(NODE0) | ~transfer_epoch6(NODE1)","4","----------------------------1-------------1-","2","15","15","0000101020","0000101020","l1t1","--------------","--","------------1-","------------1-","0","0","0","0","1","0","1","0","2","0"
"107","2","forall NODE0. ~locked_epoch6(NODE0) | ep_epoch6(NODE0)","3","------0---------------------1---------------","2","7","1","0100100010","0100100010","e0l1","------0-------","--","------------1-","--------------","0","1","0","0","1","0","0","0","1","0"
"108","2","forall NODE0. ~locked_epoch6(NODE0) | held(NODE0)","3","--------------0-------------1---------------","2","6","1","0001100010","0001100010","h0l1","--------------","0-","------------1-","--------------","0","0","0","1","1","0","0","0","1","0"
"109","1","exists NODE0. ~transfer_epoch2(NODE0)","2","----------------------------------11--------","1","1","5","t1","0000002001","t1","--------------","--","--------------","----11--------","0","0","0","0","0","0","2","0","0","1"
"110","2","forall NODE1,NODE0. ~transfer_epoch2(NODE0) | ~transfer_epoch3(NODE1)","4","----------------------------------1-1-------","2","14","10","0000002020","0000002020","t1","--------------","--","--------------","----1-1-------","0","0","0","0","0","0","2","0","2","0"
"111","2","forall NODE1,NODE0. ~transfer_epoch2(NODE0) | ~transfer_epoch4(NODE1)","4","----------------------------------1---1-----","2","14","10","0000002020","0000002020","t1","--------------","--","--------------","----1---1-----","0","0","0","0","0","0","2","0","2","0"
"112","2","forall NODE1,NODE0. ~transfer_epoch2(NODE0) | ~transfer_epoch5(NODE1)","4","----------------------------------1-----1---","2","14","10","0000002020","0000002020","t1","--------------","--","--------------","----1-----1---","0","0","0","0","0","0","2","0","2","0"
"113","2","forall NODE1,NODE0. ~transfer_epoch2(NODE0) | ~transfer_epoch6(NODE1)","4","----------------------------------1-------1-","2","14","10","0000002020","0000002020","t1","--------------","--","--------------","----1-------1-","0","0","0","0","0","0","2","0","2","0"
"114","1","exists NODE0. ~transfer_epoch3(NODE0)","2","------------------------------------11------","1","1","5","t1","0000002001","t1","--------------","--","--------------","------11------","0","0","0","0","0","0","2","0","0","1"
"115","2","forall NODE1,NODE0. ~transfer_epoch3(NODE0) | ~transfer_epoch4(NODE1)","4","------------------------------------1-1-----","2","14","10","0000002020","0000002020","t1","--------------","--","--------------","------1-1-----","0","0","0","0","0","0","2","0","2","0"
"116","2","forall NODE1,NODE0. ~transfer_epoch3(NODE0) | ~transfer_epoch5(NODE1)","4","------------------------------------1---1---","2","14","10","0000002020","0000002020","t1","--------------","--","--------------","------1---1---","0","0","0","0","0","0","2","0","2","0"
"117","2","forall NODE1,NODE0. ~transfer_epoch3(NODE0) | ~transfer_epoch6(NODE1)","4","------------------------------------1-----1-","2","14","10","0000002020","0000002020","t1","--------------","--","--------------","------1-----1-","0","0","0","0","0","0","2","0","2","0"
"118","1","exists NODE0. ~transfer_epoch4(NODE0)","2","--------------------------------------11----","1","1","5","t1","0000002001","t1","--------------","--","--------------","--------11----","0","0","0","0","0","0","2","0","0","1"
"119","2","forall NODE1,NODE0. ~transfer_epoch4(NODE0) | ~transfer_epoch5(NODE1)","4","--------------------------------------1-1---","2","14","10","0000002020","0000002020","t1","--------------","--","--------------","--------1-1---","0","0","0","0","0","0","2","0","2","0"
