"Orbit","pattern","SQI","qcost","Bit String","# literals","Group","Group Size","Sig","Number sig","Literal sig","ep","held","locked","transfer","#ep=1","#ep=0","#held=1","#held=0","#locked=1","#locked=0","#transfer=1","#transfer=0","#forall","#exists"
"24","2","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~locked_epoch3(NODE1) | NODE0 = NODE1","5","---1-------------1--------","3","37","2","1000100020","1000100020","e1l1","---1----","--","-------1","--------","1","0","0","0","1","0","0","0","2","0"
"25","2","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~transfer_epoch2(NODE1)","4","---1------------------1---","2","26","3","1000001020","1000001020","e1t1","---1----","--","--------","----1---","1","0","0","0","0","0","1","0","2","0"
"26","2","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~transfer_epoch3(NODE1)","4","---1--------------------1-","2","26","3","1000001020","1000001020","e1t1","---1----","--","--------","------1-","1","0","0","0","0","0","1","0","2","0"
"27","2","forall NODE0. ~ep_epoch3(NODE0) | held(NODE0)","3","---1----0-----------------","2","11","1","1001000010","1001000010","e1h0","---1----","0-","--------","--------","1","0","0","1","0","0","0","0","1","0"
"28","2","forall NODE0. ~ep_epoch3(NODE0) | locked_epoch3(NODE0)","3","---1------------0---------","2","9","2","1000010010","1000010010","e1l0","---1----","--","------0-","--------","1","0","0","0","0","1","0","0","1","0"
"29","1","exists NODE0. ~held(NODE0)","2","--------11----------------","1","4","1","h1","0020000001","h1","--------","11","--------","--------","0","0","2","0","0","0","0","0","0","1"
"30","2","forall NODE1,NODE0. ~held(NODE0) | ~locked_epoch3(NODE1) | NODE0 = NODE1","5","--------1--------1--------","3","27","1","0010100020","0010100020","h1l1","--------","1-","-------1","--------","0","0","1","0","1","0","0","0","2","0"
"31","2","forall NODE1,NODE0. ~held(NODE0) | ~transfer_epoch2(NODE1)","4","--------1-------------1---","2","18","2","0010001020","0010001020","h1t1","--------","1-","--------","----1---","0","0","1","0","0","0","1","0","2","0"
"32","2","forall NODE1,NODE0. ~held(NODE0) | ~transfer_epoch3(NODE1)","4","--------1---------------1-","2","18","2","0010001020","0010001020","h1t1","--------","1-","--------","------1-","0","0","1","0","0","0","1","0","2","0"
"33","1","exists NODE0. ~locked_epoch2(NODE0)","2","--------------11----------","1","3","2","l1","0000200001","l1","--------","--","----11--","--------","0","0","0","0","2","0","0","0","0","1"
"34","2","forall NODE1,NODE0. ~locked_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","--------------1-------1---","2","15","3","0000101020","0000101020","l1t1","--------","--","----1---","----1---","0","0","0","0","1","0","1","0","2","0"
"35","1","exists NODE0. ~locked_epoch3(NODE0)","2","----------------11--------","1","3","2","l1","0000200001","l1","--------","--","------11","--------","0","0","0","0","2","0","0","0","0","1"
"36","2","forall NODE1,NODE0. ~locked_epoch3(NODE0) | ~transfer_epoch2(NODE1)","4","----------------1-----1---","2","15","3","0000101020","0000101020","l1t1","--------","--","------1-","----1---","0","0","0","0","1","0","1","0","2","0"
"37","2","forall NODE1,NODE0. ~locked_epoch3(NODE0) | ~transfer_epoch3(NODE1)","4","----------------1-------1-","2","15","3","0000101020","0000101020","l1t1","--------","--","------1-","------1-","0","0","0","0","1","0","1","0","2","0"
"38","2","forall NODE0. ~locked_epoch3(NODE0) | ep_epoch3(NODE0)","3","---0------------1---------","2","7","1","0100100010","0100100010","e0l1","---0----","--","------1-","--------","0","1","0","0","1","0","0","0","1","0"
"39","2","forall NODE0. ~locked_epoch3(NODE0) | held(NODE0)","3","--------0-------1---------","2","6","1","0001100010","0001100010","h0l1","--------","0-","------1-","--------","0","0","0","1","1","0","0","0","1","0"
"40","1","exists NODE0. ~transfer_epoch2(NODE0)","2","----------------------11--","1","1","2","t1","0000002001","t1","--------","--","--------","----11--","0","0","0","0","0","0","2","0","0","1"
"41","2","forall NODE1,NODE0. ~transfer_epoch2(NODE0) | ~transfer_epoch3(NODE1)","4","----------------------1-1-","2","14","1","0000002020","0000002020","t1","--------","--","--------","----1-1-","0","0","0","0","0","0","2","0","2","0"
"42","1","exists NODE0. ~transfer_epoch3(NODE0)","2","------------------------11","1","1","2","t1","0000002001","t1","--------","--","--------","------11","0","0","0","0","0","0","2","0","0","1"
"43","3","forall NODE2,NODE1,NODE0. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE1) | ~transfer_epoch3(NODE2) | ((NODE0 ~= NODE2 | NODE0 = NODE1) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1----1------------------1-","7","103","1","2000001030","2000001030","e1t1","1----1--","--","--------","------1-","2","0","0","0","0","0","1","0","3","0"
"44","3","forall NODE1,NODE0. ~ep_epoch0(NODE0) | ~ep_epoch3(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","1------1-------0----------","4","55","2","2000010020","2000010020","e1l0","1------1","--","-----0--","--------","2","0","0","0","0","1","0","0","2","0"
"45","3","forall NODE1,NODE0. ~ep_epoch0(NODE0) | ~locked_epoch3(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","1--------------0-1--------","4","49","2","1000110020","1000110020","e1l1l0","1-------","--","-----0-1","--------","1","0","0","0","1","1","0","0","2","0"
"46","3","forall NODE2,NODE1,NODE0. ~ep_epoch0(NODE0) | ~transfer_epoch2(NODE1) | ep_epoch1(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","1----0----------------1---","7","102","4","1100001030","1100001030","e1e0t1","1----0--","--","--------","----1---","1","1","0","0","0","0","1","0","3","0"
"47","3","forall NODE2,NODE1,NODE0. ~ep_epoch0(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch2(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1-----0-----------------1-","7","102","4","1100001030","1100001030","e1e0t1","1-----0-","--","--------","------1-","1","1","0","0","0","0","1","0","3","0"
"48","3","forall NODE2,NODE1,NODE0. ~ep_epoch0(NODE0) | ~transfer_epoch3(NODE1) | locked_epoch2(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1--------------0--------1-","7","101","2","1000011030","1000011030","e1l0t1","1-------","--","-----0--","------1-","1","0","0","0","0","1","1","0","3","0"
"49","3","forall NODE1,NODE0. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","1----0---------0----------","4","52","3","1100010020","1100010020","e1e0l0","1----0--","--","-----0--","--------","1","1","0","0","0","1","0","0","2","0"
"50","3","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE1) | ~held(NODE0) | NODE0 = NODE1","6","-1----1-1-----------------","4","56","1","2010000020","2010000020","e1h1","-1----1-","1-","--------","--------","2","0","1","0","0","0","0","0","2","0"
"51","3","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1-----1-------0----------","4","55","2","2000010020","2000010020","e1l0","-1-----1","--","-----0--","--------","2","0","0","0","0","1","0","0","2","0"
"52","3","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~held(NODE0) | ~locked_epoch2(NODE1) | NODE0 = NODE1","6","-1------1------1----------","4","51","1","1010100020","1010100020","e1h1l1","-1------","1-","-----1--","--------","1","0","1","0","1","0","0","0","2","0"
"53","3","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~held(NODE0) | ep_epoch0(NODE1) | NODE0 = NODE1","6","-1--0---1-----------------","4","54","2","1110000020","1110000020","e1e0h1","-1--0---","1-","--------","--------","1","1","1","0","0","0","0","0","2","0"
"54","3","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~held(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1-------1-----0----------","4","50","2","1010010020","1010010020","e1h1l0","-1------","-1","-----0--","--------","1","0","1","0","0","1","0","0","2","0"
"55","3","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~locked_epoch3(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1-------------0-1--------","4","49","2","1000110020","1000110020","e1l1l0","-1------","--","-----0-1","--------","1","0","0","0","1","1","0","0","2","0"
"56","3","forall NODE2,NODE1,NODE0. ~ep_epoch1(NODE0) | ~transfer_epoch2(NODE1) | ep_epoch0(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","-1--0-----------------1---","7","102","4","1100001030","1100001030","e1e0t1","-1--0---","--","--------","----1---","1","1","0","0","0","0","1","0","3","0"
"57","3","forall NODE2,NODE1,NODE0. ~ep_epoch1(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch2(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","-1----0-----------------1-","7","102","4","1100001030","1100001030","e1e0t1","-1----0-","--","--------","------1-","1","1","0","0","0","0","1","0","3","0"
"58","3","forall NODE2,NODE1,NODE0. ~ep_epoch1(NODE0) | ~transfer_epoch3(NODE1) | locked_epoch2(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","-1-------------0--------1-","7","101","2","1000011030","1000011030","e1l0t1","-1------","--","-----0--","------1-","1","0","0","0","0","1","1","0","3","0"
"59","3","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ep_epoch0(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1--0----------0----------","4","52","3","1100010020","1100010020","e1e0l0","-1--0---","--","-----0--","--------","1","1","0","0","0","1","0","0","2","0"
"60","3","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ~held(NODE1) | ep_epoch3(NODE1) | NODE0 = NODE1","6","--1----0-1----------------","4","54","2","1110000020","1110000020","e1e0h1","--1----0","-1","--------","--------","1","1","1","0","0","0","0","0","2","0"
"61","3","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ~held(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","6","--1------1-------0--------","4","50","2","1010010020","1010010020","e1h1l0","--1-----","-1","-------0","--------","1","0","1","0","0","1","0","0","2","0"
"62","3","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~locked_epoch2(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","6","---1--0--------1----------","4","53","1","1100100020","1100100020","e1e0l1","---1--0-","--","-----1--","--------","1","1","0","0","1","0","0","0","2","0"
"63","3","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ep_epoch2(NODE1) | locked_epoch2(NODE0) | NODE0 = NODE1","6","---1--0-------0-----------","4","52","3","1100010020","1100010020","e1e0l0","---1--0-","--","----0---","--------","1","1","0","0","0","1","0","0","2","0"
"64","3","forall NODE1,NODE0. ~ep_epoch3(NODE0) | locked_epoch2(NODE0) | locked_epoch2(NODE1) | NODE0 = NODE1","6","---1----------00----------","4","48","1","1000020020","1000020020","e1l0","---1----","--","----00--","--------","1","0","0","0","0","2","0","0","2","0"
"65","3","forall NODE1,NODE0. ~held(NODE0) | ~locked_epoch2(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","6","------0-1------1----------","4","44","2","0110100020","0110100020","e0h1l1","------0-","1-","-----1--","--------","0","1","1","0","1","0","0","0","2","0"
"66","3","forall NODE1,NODE0. ~held(NODE0) | ~locked_epoch2(NODE1) | ep_epoch3(NODE0) | NODE0 = NODE1","6","---0----1------1----------","4","44","2","0110100020","0110100020","e0h1l1","---0----","1-","-----1--","--------","0","1","1","0","1","0","0","0","2","0"
"67","3","forall NODE1,NODE0. ~held(NODE0) | ~locked_epoch2(NODE1) | locked_epoch3(NODE0) | NODE0 = NODE1","6","--------1------10---------","4","41","1","0010110020","0010110020","h1l1l0","--------","1-","-----10-","--------","0","0","1","0","1","1","0","0","2","0"
"68","3","forall NODE1,NODE0. ~locked_epoch2(NODE0) | ~locked_epoch3(NODE1) | ep_epoch2(NODE0) | NODE0 = NODE1","6","--0-----------1--1--------","4","43","1","0100200020","0100200020","e0l1","--0-----","--","----1--1","--------","0","1","0","0","2","0","0","0","2","0"
"69","3","forall NODE1,NODE0. ~locked_epoch2(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch2(NODE0)","5","--0-----------1---------1-","3","28","1","0100101020","0100101020","e0l1t1","--0-----","--","----1---","------1-","0","1","0","0","1","0","1","0","2","0"
"70","3","forall NODE0. ~locked_epoch2(NODE0) | ep_epoch2(NODE0) | ep_epoch3(NODE0)","4","--00----------1-----------","3","21","1","0200100010","0200100010","e0l1","--00----","--","----1---","--------","0","2","0","0","1","0","0","0","1","0"
"71","3","forall NODE0. ~locked_epoch2(NODE0) | ep_epoch2(NODE0) | held(NODE0)","4","--0-----0-----1-----------","3","20","1","0101100010","0101100010","e0h0l1","--0-----","0-","----1---","--------","0","1","0","1","1","0","0","0","1","0"
"72","3","forall NODE0. ~locked_epoch2(NODE0) | ep_epoch2(NODE0) | locked_epoch3(NODE0)","4","--0-----------1-0---------","3","19","1","0100110010","0100110010","e0l1l0","--0-----","--","----1-0-","--------","0","1","0","0","1","1","0","0","1","0"
"73","3","forall NODE1,NODE0. ~locked_epoch3(NODE0) | ep_epoch2(NODE1) | locked_epoch2(NODE0) | NODE0 = NODE1","6","------0-------0-1---------","4","42","1","0100110020","0100110020","e0l1l0","------0-","--","----0-1-","--------","0","1","0","0","1","1","0","0","2","0"
"74","3","forall NODE1,NODE0. ~locked_epoch3(NODE0) | locked_epoch2(NODE0) | locked_epoch2(NODE1) | NODE0 = NODE1","6","--------------001---------","4","40","1","0000120020","0000120020","l1l0","--------","--","----001-","--------","0","0","0","0","1","2","0","0","2","0"
"75","3","forall NODE1,NODE0. ~transfer_epoch2(NODE0) | ep_epoch0(NODE0) | ep_epoch0(NODE1) | NODE0 = NODE1","6","0---0-----------------1---","4","45","4","0200001020","0200001020","e0t1","0---0---","--","--------","----1---","0","2","0","0","0","0","1","0","2","0"
"76","3","forall NODE1,NODE0. ~transfer_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1)","5","00--------------------1---","3","45","4","0200001020","0200001020","e0t1","00------","--","--------","----1---","0","2","0","0","0","0","1","0","2","0"
"77","3","forall NODE1,NODE0. ~transfer_epoch2(NODE0) | ep_epoch1(NODE0) | ep_epoch1(NODE1) | NODE0 = NODE1","6","-0---0----------------1---","4","45","4","0200001020","0200001020","e0t1","-0---0--","--","--------","----1---","0","2","0","0","0","0","1","0","2","0"
"78","3","forall NODE1,NODE0. ~transfer_epoch3(NODE0) | ep_epoch2(NODE0) | ep_epoch2(NODE1) | NODE0 = NODE1","6","--0---0-----------------1-","4","45","4","0200001020","0200001020","e0t1","--0---0-","--","--------","------1-","0","2","0","0","0","0","1","0","2","0"
"79","3","forall NODE2,NODE1,NODE0. ~transfer_epoch3(NODE0) | ep_epoch2(NODE1) | locked_epoch2(NODE2) | ((NODE0 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","--0------------0--------1-","7","97","1","0100011030","0100011030","e0l0t1","--0-----","--","-----0--","------1-","0","1","0","0","0","1","1","0","3","0"
"80","3","forall NODE1,NODE0. ~transfer_epoch3(NODE0) | locked_epoch2(NODE0) | locked_epoch2(NODE1) | NODE0 = NODE1","6","--------------00--------1-","4","39","1","0000021020","0000021020","l0t1","--------","--","----00--","------1-","0","0","0","0","0","2","1","0","2","0"
"81","4","forall NODE1,NODE0. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | ep_epoch3(NODE1) | NODE0 = NODE1","7","1----000------------------","5","72","4","1300000020","1300000020","e1e0","1----000","--","--------","--------","1","3","0","0","0","0","0","0","2","0"
"82","4","forall NODE1,NODE0. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | held(NODE1) | NODE0 = NODE1","7","1----00--0----------------","5","70","3","1201000020","1201000020","e1e0h0","1----00-","-0","--------","--------","1","2","0","1","0","0","0","0","2","0"
"83","4","forall NODE1,NODE0. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","7","1----00----------0--------","5","68","4","1200010020","1200010020","e1e0l0","1----00-","--","-------0","--------","1","2","0","0","0","1","0","0","2","0"
"84","4","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~held(NODE1) | ep_epoch2(NODE1) | ep_epoch3(NODE1) | NODE0 = NODE1","7","-1----00-1----------------","5","71","2","1210000020","1210000020","e1e0h1","-1----00","-1","--------","--------","1","2","1","0","0","0","0","0","2","0"
"85","4","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~held(NODE1) | ep_epoch2(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","7","-1----0--1-------0--------","5","67","1","1110010020","1110010020","e1e0h1l0","-1----0-","-1","-------0","--------","1","1","1","0","0","1","0","0","2","0"
"86","4","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE1) | ep_epoch3(NODE1) | NODE0 = NODE1","7","-1--0-00------------------","5","72","4","1300000020","1300000020","e1e0","-1--0-00","--","--------","--------","1","3","0","0","0","0","0","0","2","0"
"87","4","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE1) | held(NODE1) | NODE0 = NODE1","7","-1--0-0--0----------------","5","70","3","1201000020","1201000020","e1e0h0","-1--0-0-","-0","--------","--------","1","2","0","1","0","0","0","0","2","0"
"88","4","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","7","-1--0-0----------0--------","5","68","4","1200010020","1200010020","e1e0l0","-1--0-0-","--","-------0","--------","1","2","0","0","0","1","0","0","2","0"
"89","4","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ~held(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | NODE0 = NODE1","7","--1-00--1-----------------","5","71","2","1210000020","1210000020","e1e0h1","--1-00--","1-","--------","--------","1","2","1","0","0","0","0","0","2","0"
"90","4","forall NODE2,NODE1,NODE0. ~ep_epoch2(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch0(NODE2) | ep_epoch1(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","11","--1-00------------------1-","8","108","1","1200001030","1200001030","e1e0t1","--1-00--","--","--------","------1-","1","2","0","0","0","0","1","0","3","0"
"91","4","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | ep_epoch3(NODE1) | NODE0 = NODE1","7","--1-00-0------------------","5","72","4","1300000020","1300000020","e1e0","--1-00-0","--","--------","--------","1","3","0","0","0","0","0","0","2","0"
"92","4","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | held(NODE1) | NODE0 = NODE1","7","--1-00---0----------------","5","70","3","1201000020","1201000020","e1e0h0","--1-00--","-0","--------","--------","1","2","0","1","0","0","0","0","2","0"
"93","4","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","7","--1-00-----------0--------","5","68","4","1200010020","1200010020","e1e0l0","--1-00--","--","-------0","--------","1","2","0","0","0","1","0","0","2","0"
"94","4","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~locked_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | NODE0 = NODE1","7","---100--------1-----------","5","69","1","1200100020","1200100020","e1e0l1","---100--","--","----1---","--------","1","2","0","0","1","0","0","0","2","0"
"95","4","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","7","---1000-------------------","5","72","4","1300000020","1300000020","e1e0","---1000-","--","--------","--------","1","3","0","0","0","0","0","0","2","0"
"96","4","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","7","---100---------0----------","5","68","4","1200010020","1200010020","e1e0l0","---100--","--","-----0--","--------","1","2","0","0","0","1","0","0","2","0"
"97","4","forall NODE1,NODE0. ~held(NODE0) | ~locked_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | NODE0 = NODE1","7","----00--1-----1-----------","5","63","1","0210100020","0210100020","e0h1l1","----00--","1-","----1---","--------","0","2","1","0","1","0","0","0","2","0"
"98","4","forall NODE1,NODE0. ~held(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","7","----000-1-----------------","5","66","3","0310000020","0310000020","e0h1","----000-","1-","--------","--------","0","3","1","0","0","0","0","0","2","0"
"99","4","forall NODE1,NODE0. ~held(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | ep_epoch3(NODE0) | NODE0 = NODE1","7","---000--1-----------------","5","66","3","0310000020","0310000020","e0h1","---000--","1-","--------","--------","0","3","1","0","0","0","0","0","2","0"
"100","4","forall NODE1,NODE0. ~held(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","7","----00--1------0----------","5","62","6","0210010020","0210010020","e0h1l0","----00--","1-","-----0--","--------","0","2","1","0","0","1","0","0","2","0"
"101","4","forall NODE1,NODE0. ~held(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | locked_epoch3(NODE0) | NODE0 = NODE1","7","----00--1-------0---------","5","62","6","0210010020","0210010020","e0h1l0","----00--","1-","------0-","--------","0","2","1","0","0","1","0","0","2","0"
"102","4","forall NODE1,NODE0. ~held(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE0) | ep_epoch3(NODE0) | NODE0 = NODE1","7","--000---1-----------------","5","66","3","0310000020","0310000020","e0h1","--000---","1-","--------","--------","0","3","1","0","0","0","0","0","2","0"
