"Orbit","SQI","qcost","Bit String","# literals","Group","Group Size","Sig"
"39","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","6","-1-0-0--------------","4","25","3","1200000020"
"40","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ep_epoch0(NODE1) | held(NODE1) | NODE0 = NODE1","6","-1-0---0------------","4","23","2","1101000020"
"41","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ep_epoch0(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1-0---------0------","4","21","4","1100010020"
"42","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ~locked_epoch1(NODE0) | ep_epoch0(NODE1) | NODE0 = NODE1","6","--10------1---------","4","22","2","1100100020"
"43","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ~locked_epoch1(NODE1) | ep_epoch1(NODE1) | NODE0 = NODE1","6","--1-0------1--------","4","22","2","1100100020"
"44","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | NODE0 = NODE1","6","--100---------------","4","25","3","1200000020"
"45","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ep_epoch0(NODE1) | locked_epoch1(NODE1) | NODE0 = NODE1","6","--10-------0--------","4","21","4","1100010020"
"46","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ep_epoch1(NODE1) | locked_epoch1(NODE0) | NODE0 = NODE1","6","--1-0-----0---------","4","21","4","1100010020"
"47","forall NODE0,NODE1. ~held(NODE0) | ~locked_epoch1(NODE0) | ep_epoch0(NODE1) | NODE0 = NODE1","6","---0--1---1---------","4","16","3","0110100020"
"48","forall NODE0,NODE1. ~held(NODE0) | ~locked_epoch1(NODE1) | ep_epoch1(NODE1) | NODE0 = NODE1","6","----0-1----1--------","4","16","3","0110100020"
"49","forall NODE0,NODE1. ~held(NODE0) | ~locked_epoch1(NODE1) | ep_epoch2(NODE0) | NODE0 = NODE1","6","--0---1----1--------","4","16","3","0110100020"
"50","forall NODE0,NODE1. ~held(NODE0) | ~locked_epoch1(NODE1) | locked_epoch2(NODE0) | NODE0 = NODE1","6","------1----10-------","4","0","39","0010110020"
"51","forall NODE0,NODE1. ~held(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | NODE0 = NODE1","6","---00-1-------------","4","20","2","0210000020"
"52","forall NODE0,NODE1. ~held(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE0) | NODE0 = NODE1","6","--00--1-------------","4","20","2","0210000020"
"53","forall NODE0,NODE1. ~held(NODE0) | ep_epoch0(NODE1) | locked_epoch1(NODE1) | NODE0 = NODE1","6","---0--1----0--------","4","15","3","0110010020"
"54","forall NODE0,NODE1. ~held(NODE0) | ep_epoch0(NODE1) | locked_epoch2(NODE0) | NODE0 = NODE1","6","---0--1-----0-------","4","15","3","0110010020"
"55","forall NODE0. ~held(NODE0) | ep_epoch1(NODE0) | ep_epoch2(NODE0)","4","-00---1-------------","3","0","39","0210000010"
"56","forall NODE0. ~held(NODE0) | ep_epoch1(NODE0) | locked_epoch2(NODE0)","4","-0----1-----0-------","3","10","2","0110010010"
"57","forall NODE0,NODE1. ~held(NODE0) | ep_epoch1(NODE1) | locked_epoch1(NODE0) | NODE0 = NODE1","6","----0-1---0---------","4","15","3","0110010020"
"58","forall NODE0. ~held(NODE0) | ep_epoch2(NODE0) | locked_epoch1(NODE0)","4","--0---1---0---------","3","10","2","0110010010"
"59","forall NODE0. ~held(NODE0) | locked_epoch1(NODE0) | locked_epoch2(NODE0)","4","------1---0-0-------","3","0","39","0010020010"
"60","forall NODE0,NODE1. ~locked_epoch1(NODE0) | ~locked_epoch2(NODE0) | ep_epoch0(NODE1) | NODE0 = NODE1","6","---0------1-1-------","4","14","2","0100200020"
"61","forall NODE0,NODE1. ~locked_epoch1(NODE0) | ~locked_epoch2(NODE1) | ep_epoch1(NODE0) | NODE0 = NODE1","6","-0--------1--1------","4","14","2","0100200020"
"62","forall NODE2,NODE0,NODE1. ~locked_epoch1(NODE0) | ~transfer_epoch2(NODE1) | ep_epoch0(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","---0------1-------1-","7","0","39","0100101030"
"63","forall NODE0,NODE1. ~locked_epoch1(NODE0) | ~transfer_epoch2(NODE1) | ep_epoch1(NODE0)","5","-0--------1-------1-","3","0","39","0100101020"
"64","forall NODE0,NODE1. ~locked_epoch1(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE0) | NODE0 = NODE1","6","-0-0------1---------","4","19","3","0200100020"
"65","forall NODE0,NODE1. ~locked_epoch1(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","6","---0-0----1---------","4","19","3","0200100020"
"66","forall NODE0,NODE1. ~locked_epoch1(NODE0) | ep_epoch0(NODE1) | held(NODE1) | NODE0 = NODE1","6","---0---0--1---------","4","0","39","0101100020"
"67","forall NODE0,NODE1. ~locked_epoch1(NODE0) | ep_epoch0(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","---0------1--0------","4","13","3","0100110020"
"68","forall NODE0. ~locked_epoch1(NODE0) | ep_epoch1(NODE0) | ep_epoch2(NODE0)","4","-00-------1---------","3","0","39","0200100010"
"69","forall NODE0. ~locked_epoch1(NODE0) | ep_epoch1(NODE0) | held(NODE0)","4","-0----0---1---------","3","0","39","0101100010"
"70","forall NODE0. ~locked_epoch1(NODE0) | ep_epoch1(NODE0) | locked_epoch2(NODE0)","4","-0--------1-0-------","3","0","39","0100110010"
"71","forall NODE0,NODE1. ~locked_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | NODE0 = NODE1","6","---00-------1-------","4","19","3","0200100020"
"72","forall NODE0,NODE1. ~locked_epoch2(NODE0) | ep_epoch0(NODE1) | locked_epoch1(NODE1) | NODE0 = NODE1","6","---0-------01-------","4","13","3","0100110020"
"73","forall NODE0,NODE1. ~locked_epoch2(NODE0) | ep_epoch1(NODE1) | locked_epoch1(NODE0) | NODE0 = NODE1","6","----0-----0-1-------","4","13","3","0100110020"
"74","forall NODE0,NODE1. ~transfer_epoch2(NODE0) | ep_epoch0(NODE0) | ep_epoch0(NODE1) | NODE0 = NODE1","6","0--0--------------1-","4","17","3","0200001020"
"75","forall NODE0,NODE1. ~transfer_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1)","5","00----------------1-","3","17","3","0200001020"
"76","forall NODE0,NODE1. ~transfer_epoch2(NODE0) | ep_epoch0(NODE1) | locked_epoch1(NODE1)","5","0---------0-------1-","3","0","39","0100011020"
"77","forall NODE0,NODE1. ~transfer_epoch2(NODE0) | ep_epoch1(NODE0) | ep_epoch1(NODE1) | NODE0 = NODE1","6","-0--0-------------1-","4","17","3","0200001020"
"78","forall NODE2,NODE0,NODE1. ~transfer_epoch2(NODE0) | ep_epoch1(NODE1) | locked_epoch1(NODE2) | ((NODE0 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","-0---------0------1-","7","0","39","0100011030"
"79","forall NODE0. ep_epoch0(NODE0) | ep_epoch1(NODE0) | ep_epoch2(NODE0)","4","000-----------------","3","0","39","0300000010"
"80","forall NODE0. ep_epoch0(NODE0) | ep_epoch1(NODE0) | held(NODE0)","4","00----0-------------","3","0","39","0201000010"
"81","forall NODE0. ep_epoch0(NODE0) | ep_epoch1(NODE0) | locked_epoch2(NODE0)","4","00----------0-------","3","11","2","0200010010"
"82","forall NODE0,NODE1. ep_epoch0(NODE0) | ep_epoch1(NODE1) | locked_epoch1(NODE0) | NODE0 = NODE1","6","0---0-----0---------","4","18","2","0200010020"
"83","forall NODE0. ep_epoch0(NODE0) | ep_epoch2(NODE0) | locked_epoch1(NODE0)","4","0-0-------0---------","3","11","2","0200010010"
"84","forall NODE0. ep_epoch0(NODE0) | held(NODE0) | locked_epoch1(NODE0)","4","0-----0---0---------","3","0","39","0101010010"
"85","forall NODE0. ep_epoch0(NODE0) | locked_epoch1(NODE0) | locked_epoch2(NODE0)","4","0---------0-0-------","3","0","39","0100020010"
"86","forall NODE0,NODE1. ep_epoch1(NODE0) | ep_epoch2(NODE0) | locked_epoch1(NODE1) | NODE0 = NODE1","6","-00--------0--------","4","18","2","0200010020"
"87","forall NODE0,NODE1. ep_epoch1(NODE0) | held(NODE0) | locked_epoch1(NODE1) | NODE0 = NODE1","6","-0----0----0--------","4","0","39","0101010020"
"88","forall NODE0,NODE1. ep_epoch1(NODE0) | locked_epoch1(NODE1) | locked_epoch2(NODE0) | NODE0 = NODE1","6","-0---------00-------","4","0","39","0100020020"
"89","forall NODE0,NODE1. ~ep_epoch0(NODE0) | held(NODE1) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","7","1------0----------00","5","0","39","1001000220"
"90","exists NODE0. ep_epoch0(NODE0) | ep_epoch1(NODE0)","3","00-00---------------","2","6","3","0400000001"
"91","exists NODE0. ep_epoch0(NODE0) | ep_epoch2(NODE0)","3","0-00-0--------------","2","6","3","0400000001"
"92","forall NODE0,NODE1. ep_epoch0(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE0) | held(NODE1) | NODE0 = NODE1","7","0-00---0------------","5","28","2","0301000020"
"93","forall NODE0,NODE1. ep_epoch0(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE0) | locked_epoch2(NODE1) | NODE0 = NODE1","7","0-00---------0------","5","27","2","0300010020"
"94","exists NODE0. ep_epoch0(NODE0) | held(NODE0)","3","0--0--00------------","2","5","2","0202000001"
"95","forall NODE0,NODE1. ep_epoch0(NODE0) | ep_epoch0(NODE1) | held(NODE0) | locked_epoch2(NODE1) | NODE0 = NODE1","7","0--0--0------0------","5","26","2","0201010020"
"96","exists NODE0. ep_epoch0(NODE0) | locked_epoch2(NODE0)","3","0--0--------00------","2","4","2","0200020001"
"97","exists NODE0. ep_epoch1(NODE0) | ep_epoch2(NODE0)","3","-00-00--------------","2","6","3","0400000001"
"98","forall NODE0,NODE1. ep_epoch1(NODE0) | ep_epoch1(NODE1) | ep_epoch2(NODE0) | held(NODE1) | NODE0 = NODE1","7","-00-0--0------------","5","28","2","0301000020"
"99","forall NODE0,NODE1. ep_epoch1(NODE0) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | locked_epoch2(NODE0) | NODE0 = NODE1","7","-00-0--------0------","5","27","2","0300010020"
"100","exists NODE0. ep_epoch1(NODE0) | held(NODE0)","3","-0--0-00------------","2","5","2","0202000001"
"101","forall NODE0,NODE1. ep_epoch1(NODE0) | ep_epoch1(NODE1) | held(NODE1) | locked_epoch2(NODE0) | NODE0 = NODE1","7","-0--0-0------0------","5","26","2","0201010020"
"102","exists NODE0. ep_epoch1(NODE0) | locked_epoch2(NODE0)","3","-0--0-------00------","2","4","2","0200020001"
"103","exists NODE0. held(NODE0) | transfer_epoch2(NODE0)","3","------00----------00","2","0","39","0002000201"
"104","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ep_epoch2(NODE1) | held(NODE0) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","-1---00-----------00","6","0","39","1101000220"
"105","forall NODE0,NODE1. ~ep_epoch1(NODE0) | held(NODE0) | locked_epoch2(NODE1) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","-1----0------0----00","6","0","39","1001010220"
"106","forall NODE0,NODE1. ~locked_epoch1(NODE0) | ep_epoch2(NODE1) | held(NODE0) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","-----00---1-------00","6","0","39","0101100220"
"107","forall NODE0,NODE1. ~locked_epoch1(NODE0) | held(NODE0) | locked_epoch2(NODE1) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","------0---1--0----00","6","0","39","0001110220"
"108","forall NODE0,NODE1. ep_epoch0(NODE0) | ep_epoch2(NODE1) | held(NODE0) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","0----00-----------00","6","30","2","0201000220"
"109","forall NODE0,NODE1. ep_epoch0(NODE0) | held(NODE0) | locked_epoch2(NODE1) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","0-----0------0----00","6","29","3","0101010220"
"110","forall NODE0,NODE1. ep_epoch1(NODE0) | ep_epoch2(NODE0) | held(NODE1) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","-00----0----------00","6","30","2","0201000220"
"111","forall NODE0,NODE1. ep_epoch1(NODE0) | held(NODE1) | locked_epoch2(NODE0) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","-0-----0----0-----00","6","29","3","0101010220"
"112","forall NODE0,NODE1. ep_epoch2(NODE0) | held(NODE1) | locked_epoch1(NODE0) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","--0----0--0-------00","6","29","3","0101010220"
"113","forall NODE0,NODE1. held(NODE0) | locked_epoch1(NODE1) | locked_epoch2(NODE1) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","------0----0-0----00","6","0","39","0001020220"
