"Orbit","pattern","SQI","qcost","Bit String","# literals","Group","Group Type","Group Size","Sig","Number sig","Literal sig","ep","held","locked","transfer","#ep=1","#ep=0","#held=1","#held=0","#locked=1","#locked=0","#transfer=1","#transfer=0","#forall","#exists"
"20","2","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","--1-------------------1---","2","8","F","3","1000001020","1000001020","e1t1","--1-----","--","--------","----1---","1","0","0","0","0","0","1","0","2","0"
"21","2","forall NODE0. ~ep_epoch2(NODE0) | locked_epoch2(NODE0)","3","--1-----------0-----------","2","10","F","2","1000010010","1000010010","e1l0","--1-----","--","----0---","--------","1","0","0","0","0","1","0","0","1","0"
"22","1","exists NODE0. ~ep_epoch3(NODE0)","2","---1---1------------------","1","1","E","4","e1","1000000001","e1","---1---1","--","--------","--------","2","0","0","0","0","0","0","0","0","1"
"23","2","forall NODE0,NODE1. ~ep_epoch3(NODE0) | ~held(NODE1) | NODE0 = NODE1","5","---1-----1----------------","3","6","F","2","1010000020","1010000020","e1h1","---1----","-1","--------","--------","1","0","1","0","0","0","0","0","2","0"
"24","2","forall NODE0,NODE1. ~ep_epoch3(NODE0) | ~locked_epoch3(NODE1) | NODE0 = NODE1","5","---1-------------1--------","3","7","F","2","1000100020","1000100020","e1l1","---1----","--","-------1","--------","1","0","0","0","1","0","0","0","2","0"
"25","2","forall NODE0,NODE1. ~ep_epoch3(NODE0) | ~transfer_epoch2(NODE1)","4","---1------------------1---","2","8","F","3","1000001020","1000001020","e1t1","---1----","--","--------","----1---","1","0","0","0","0","0","1","0","2","0"
"26","2","forall NODE0,NODE1. ~ep_epoch3(NODE0) | ~transfer_epoch3(NODE1)","4","---1--------------------1-","2","8","F","3","1000001020","1000001020","e1t1","---1----","--","--------","------1-","1","0","0","0","0","0","1","0","2","0"
"27","2","forall NODE0. ~ep_epoch3(NODE0) | held(NODE0)","3","---1----0-----------------","2","9","F","1","1001000010","1001000010","e1h0","---1----","0-","--------","--------","1","0","0","1","0","0","0","0","1","0"
"28","2","forall NODE0. ~ep_epoch3(NODE0) | locked_epoch3(NODE0)","3","---1------------0---------","2","10","F","2","1000010010","1000010010","e1l0","---1----","--","------0-","--------","1","0","0","0","0","1","0","0","1","0"
"29","1","exists NODE0. ~held(NODE0)","2","--------11----------------","1","2","E","1","h1","0010000001","h1","--------","11","--------","--------","0","0","2","0","0","0","0","0","0","1"
"30","2","forall NODE0,NODE1. ~held(NODE0) | ~locked_epoch3(NODE1) | NODE0 = NODE1","5","--------1--------1--------","3","11","F","1","0010100020","0010100020","h1l1","--------","1-","-------1","--------","0","0","1","0","1","0","0","0","2","0"
"31","2","forall NODE0,NODE1. ~held(NODE0) | ~transfer_epoch2(NODE1)","4","--------1-------------1---","2","12","F","2","0010001020","0010001020","h1t1","--------","1-","--------","----1---","0","0","1","0","0","0","1","0","2","0"
"32","2","forall NODE0,NODE1. ~held(NODE0) | ~transfer_epoch3(NODE1)","4","--------1---------------1-","2","12","F","2","0010001020","0010001020","h1t1","--------","1-","--------","------1-","0","0","1","0","0","0","1","0","2","0"
"33","1","exists NODE0. ~locked_epoch2(NODE0)","2","--------------11----------","1","3","E","2","l1","0000100001","l1","--------","--","----11--","--------","0","0","0","0","2","0","0","0","0","1"
"34","2","forall NODE0,NODE1. ~locked_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","--------------1-------1---","2","13","F","3","0000101020","0000101020","l1t1","--------","--","----1---","----1---","0","0","0","0","1","0","1","0","2","0"
"35","1","exists NODE0. ~locked_epoch3(NODE0)","2","----------------11--------","1","3","E","2","l1","0000100001","l1","--------","--","------11","--------","0","0","0","0","2","0","0","0","0","1"
"36","2","forall NODE0,NODE1. ~locked_epoch3(NODE0) | ~transfer_epoch2(NODE1)","4","----------------1-----1---","2","13","F","3","0000101020","0000101020","l1t1","--------","--","------1-","----1---","0","0","0","0","1","0","1","0","2","0"
"37","2","forall NODE0,NODE1. ~locked_epoch3(NODE0) | ~transfer_epoch3(NODE1)","4","----------------1-------1-","2","13","F","3","0000101020","0000101020","l1t1","--------","--","------1-","------1-","0","0","0","0","1","0","1","0","2","0"
"38","2","forall NODE0. ~locked_epoch3(NODE0) | ep_epoch3(NODE0)","3","---0------------1---------","2","14","F","2","0100100010","0100100010","e0l1","---0----","--","------1-","--------","0","1","0","0","1","0","0","0","1","0"
"39","2","forall NODE0. ~locked_epoch3(NODE0) | held(NODE0)","3","--------0-------1---------","2","15","F","1","0001100010","0001100010","h0l1","--------","0-","------1-","--------","0","0","0","1","1","0","0","0","1","0"
"40","1","exists NODE0. ~transfer_epoch2(NODE0)","2","----------------------11--","1","4","E","2","t1","0000001001","t1","--------","--","--------","----11--","0","0","0","0","0","0","2","0","0","1"
"41","1","forall NODE0,NODE1. ~transfer_epoch2(NODE0) | ~transfer_epoch3(NODE1)","4","----------------------1-1-","2","39","F","1","0000001020","0000001020","t1","--------","--","--------","----1-1-","0","0","0","0","0","0","2","0","2","0"
"42","1","exists NODE0. ~transfer_epoch3(NODE0)","2","------------------------11","1","4","E","2","t1","0000001001","t1","--------","--","--------","------11","0","0","0","0","0","0","2","0","0","1"
"43","2","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE1) | ~transfer_epoch3(NODE2) | ((NODE0 ~= NODE2 | NODE0 = NODE1) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1----1------------------1-","7","40","F","1","1000001030","1000001030","e1t1","1----1--","--","--------","------1-","2","0","0","0","0","0","1","0","3","0"
"44","2","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ~ep_epoch3(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","1------1-------0----------","4","41","F","3","1000010020","1000010020","e1l0","1------1","--","-----0--","--------","2","0","0","0","0","1","0","0","2","0"
"45","3","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ~locked_epoch3(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","1--------------0-1--------","4","42","F","2","1000110020","1000110020","e1l1l0","1-------","--","-----0-1","--------","1","0","0","0","1","1","0","0","2","0"
"46","3","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch2(NODE1) | ep_epoch1(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1----0----------------1---","7","16","F","5","1100001030","1100001030","e1e0t1","1----0--","--","--------","----1---","1","1","0","0","0","0","1","0","3","0"
"47","3","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch2(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","1-----0-----------------1-","7","16","F","5","1100001030","1100001030","e1e0t1","1-----0-","--","--------","------1-","1","1","0","0","0","0","1","0","3","0"
"48","3","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch3(NODE1) | locked_epoch2(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","1--------------0--------1-","7","43","F","2","1000011030","1000011030","e1l0t1","1-------","--","-----0--","------1-","1","0","0","0","0","1","1","0","3","0"
"49","3","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","1----0---------0----------","4","19","F","7","1100010020","1100010020","e1e0l0","1----0--","--","-----0--","--------","1","1","0","0","0","1","0","0","2","0"
"50","2","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE1) | ~held(NODE0) | NODE0 = NODE1","6","-1----1-1-----------------","4","6","F","2","1010000020","1010000020","e1h1","-1----1-","1-","--------","--------","2","0","1","0","0","0","0","0","2","0"
"51","2","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1-----1-------0----------","4","41","F","3","1000010020","1000010020","e1l0","-1-----1","--","-----0--","--------","2","0","0","0","0","1","0","0","2","0"
"52","3","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE0) | ~locked_epoch2(NODE1) | NODE0 = NODE1","6","-1------1------1----------","4","44","F","1","1010100020","1010100020","e1h1l1","-1------","1-","-----1--","--------","1","0","1","0","1","0","0","0","2","0"
"53","3","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE0) | ep_epoch0(NODE1) | NODE0 = NODE1","6","-1--0---1-----------------","4","20","F","4","1110000020","1110000020","e1e0h1","-1--0---","1-","--------","--------","1","1","1","0","0","0","0","0","2","0"
"54","3","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1-------1-----0----------","4","21","F","2","1010010020","1010010020","e1h1l0","-1------","-1","-----0--","--------","1","0","1","0","0","1","0","0","2","0"
"55","3","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~locked_epoch3(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1-------------0-1--------","4","42","F","2","1000110020","1000110020","e1l1l0","-1------","--","-----0-1","--------","1","0","0","0","1","1","0","0","2","0"
"56","3","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~transfer_epoch2(NODE1) | ep_epoch0(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","-1--0-----------------1---","7","16","F","5","1100001030","1100001030","e1e0t1","-1--0---","--","--------","----1---","1","1","0","0","0","0","1","0","3","0"
"57","3","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch2(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","-1----0-----------------1-","7","16","F","5","1100001030","1100001030","e1e0t1","-1----0-","--","--------","------1-","1","1","0","0","0","0","1","0","3","0"
"58","3","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~transfer_epoch3(NODE1) | locked_epoch2(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","-1-------------0--------1-","7","43","F","2","1000011030","1000011030","e1l0t1","-1------","--","-----0--","------1-","1","0","0","0","0","1","1","0","3","0"
"59","3","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ep_epoch0(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1--0----------0----------","4","19","F","7","1100010020","1100010020","e1e0l0","-1--0---","--","-----0--","--------","1","1","0","0","0","1","0","0","2","0"
"60","3","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ~held(NODE1) | ep_epoch3(NODE1) | NODE0 = NODE1","6","--1----0-1----------------","4","20","F","4","1110000020","1110000020","e1e0h1","--1----0","-1","--------","--------","1","1","1","0","0","0","0","0","2","0"
"61","3","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ~held(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","6","--1------1-------0--------","4","21","F","2","1010010020","1010010020","e1h1l0","--1-----","-1","-------0","--------","1","0","1","0","0","1","0","0","2","0"
"62","3","forall NODE0,NODE1. ~ep_epoch3(NODE0) | ~locked_epoch2(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","6","---1--0--------1----------","4","45","F","2","1100100020","1100100020","e1e0l1","---1--0-","--","-----1--","--------","1","1","0","0","1","0","0","0","2","0"
"63","3","forall NODE0,NODE1. ~ep_epoch3(NODE0) | ep_epoch2(NODE1) | locked_epoch2(NODE0) | NODE0 = NODE1","6","---1--0-------0-----------","4","19","F","7","1100010020","1100010020","e1e0l0","---1--0-","--","----0---","--------","1","1","0","0","0","1","0","0","2","0"
"64","2","forall NODE0,NODE1. ~ep_epoch3(NODE0) | locked_epoch2(NODE0) | locked_epoch2(NODE1) | NODE0 = NODE1","6","---1----------00----------","4","41","F","3","1000010020","1000010020","e1l0","---1----","--","----00--","--------","1","0","0","0","0","2","0","0","2","0"
"65","3","forall NODE0,NODE1. ~held(NODE0) | ~locked_epoch2(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","6","------0-1------1----------","4","46","F","3","0110100020","0110100020","e0h1l1","------0-","1-","-----1--","--------","0","1","1","0","1","0","0","0","2","0"
"66","3","forall NODE0,NODE1. ~held(NODE0) | ~locked_epoch2(NODE1) | ep_epoch3(NODE0) | NODE0 = NODE1","6","---0----1------1----------","4","46","F","3","0110100020","0110100020","e0h1l1","---0----","1-","-----1--","--------","0","1","1","0","1","0","0","0","2","0"
"67","3","forall NODE0,NODE1. ~held(NODE0) | ~locked_epoch2(NODE1) | locked_epoch3(NODE0) | NODE0 = NODE1","6","--------1------10---------","4","47","F","1","0010110020","0010110020","h1l1l0","--------","1-","-----10-","--------","0","0","1","0","1","1","0","0","2","0"
"68","2","forall NODE0,NODE1. ~locked_epoch2(NODE0) | ~locked_epoch3(NODE1) | ep_epoch2(NODE0) | NODE0 = NODE1","6","--0-----------1--1--------","4","26","F","5","0100100020","0100100020","e0l1","--0-----","--","----1--1","--------","0","1","0","0","2","0","0","0","2","0"
"69","3","forall NODE0,NODE1. ~locked_epoch2(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch2(NODE0)","5","--0-----------1---------1-","3","48","F","1","0100101020","0100101020","e0l1t1","--0-----","--","----1---","------1-","0","1","0","0","1","0","1","0","2","0"
"70","2","forall NODE0. ~locked_epoch2(NODE0) | ep_epoch2(NODE0) | ep_epoch3(NODE0)","4","--00----------1-----------","3","14","F","2","0100100010","0100100010","e0l1","--00----","--","----1---","--------","0","2","0","0","1","0","0","0","1","0"
"71","3","forall NODE0. ~locked_epoch2(NODE0) | ep_epoch2(NODE0) | held(NODE0)","4","--0-----0-----1-----------","3","49","F","1","0101100010","0101100010","e0h0l1","--0-----","0-","----1---","--------","0","1","0","1","1","0","0","0","1","0"
"72","3","forall NODE0. ~locked_epoch2(NODE0) | ep_epoch2(NODE0) | locked_epoch3(NODE0)","4","--0-----------1-0---------","3","50","F","1","0100110010","0100110010","e0l1l0","--0-----","--","----1-0-","--------","0","1","0","0","1","1","0","0","1","0"
"73","3","forall NODE0,NODE1. ~locked_epoch3(NODE0) | ep_epoch2(NODE1) | locked_epoch2(NODE0) | NODE0 = NODE1","6","------0-------0-1---------","4","51","F","3","0100110020","0100110020","e0l1l0","------0-","--","----0-1-","--------","0","1","0","0","1","1","0","0","2","0"
"74","2","forall NODE0,NODE1. ~locked_epoch3(NODE0) | locked_epoch2(NODE0) | locked_epoch2(NODE1) | NODE0 = NODE1","6","--------------001---------","4","52","F","1","0000110020","0000110020","l1l0","--------","--","----001-","--------","0","0","0","0","1","2","0","0","2","0"
"75","2","forall NODE0,NODE1. ~transfer_epoch2(NODE0) | ep_epoch0(NODE0) | ep_epoch0(NODE1) | NODE0 = NODE1","6","0---0-----------------1---","4","27","F","6","0100001020","0100001020","e0t1","0---0---","--","--------","----1---","0","2","0","0","0","0","1","0","2","0"
"76","2","forall NODE0,NODE1. ~transfer_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1)","5","00--------------------1---","3","27","F","6","0100001020","0100001020","e0t1","00------","--","--------","----1---","0","2","0","0","0","0","1","0","2","0"
"77","2","forall NODE0,NODE1. ~transfer_epoch2(NODE0) | ep_epoch1(NODE0) | ep_epoch1(NODE1) | NODE0 = NODE1","6","-0---0----------------1---","4","27","F","6","0100001020","0100001020","e0t1","-0---0--","--","--------","----1---","0","2","0","0","0","0","1","0","2","0"
"78","2","forall NODE0,NODE1. ~transfer_epoch3(NODE0) | ep_epoch2(NODE0) | ep_epoch2(NODE1) | NODE0 = NODE1","6","--0---0-----------------1-","4","27","F","6","0100001020","0100001020","e0t1","--0---0-","--","--------","------1-","0","2","0","0","0","0","1","0","2","0"
"79","3","forall NODE0,NODE2,NODE1. ~transfer_epoch3(NODE0) | ep_epoch2(NODE1) | locked_epoch2(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE0 ~= NODE2 | NODE0 = NODE1))","10","--0------------0--------1-","7","53","F","1","0100011030","0100011030","e0l0t1","--0-----","--","-----0--","------1-","0","1","0","0","0","1","1","0","3","0"
"80","2","forall NODE0,NODE1. ~transfer_epoch3(NODE0) | locked_epoch2(NODE0) | locked_epoch2(NODE1) | NODE0 = NODE1","6","--------------00--------1-","4","54","F","1","0000011020","0000011020","l0t1","--------","--","----00--","------1-","0","0","0","0","0","2","1","0","2","0"
"81","2","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | ep_epoch3(NODE1) | NODE0 = NODE1","7","1----000------------------","5","17","F","4","1100000020","1100000020","e1e0","1----000","--","--------","--------","1","3","0","0","0","0","0","0","2","0"
"82","3","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | held(NODE1) | NODE0 = NODE1","7","1----00--0----------------","5","18","F","3","1101000020","1101000020","e1e0h0","1----00-","-0","--------","--------","1","2","0","1","0","0","0","0","2","0"
"83","3","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","7","1----00----------0--------","5","19","F","7","1100010020","1100010020","e1e0l0","1----00-","--","-------0","--------","1","2","0","0","0","1","0","0","2","0"
"84","3","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE1) | ep_epoch2(NODE1) | ep_epoch3(NODE1) | NODE0 = NODE1","7","-1----00-1----------------","5","20","F","4","1110000020","1110000020","e1e0h1","-1----00","-1","--------","--------","1","2","1","0","0","0","0","0","2","0"
"85","4","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE1) | ep_epoch2(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","7","-1----0--1-------0--------","5","55","F","1","1110010020","1110010020","e1e0h1l0","-1----0-","-1","-------0","--------","1","1","1","0","0","1","0","0","2","0"
"86","2","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE1) | ep_epoch3(NODE1) | NODE0 = NODE1","7","-1--0-00------------------","5","17","F","4","1100000020","1100000020","e1e0","-1--0-00","--","--------","--------","1","3","0","0","0","0","0","0","2","0"
"87","3","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE1) | held(NODE1) | NODE0 = NODE1","7","-1--0-0--0----------------","5","18","F","3","1101000020","1101000020","e1e0h0","-1--0-0-","-0","--------","--------","1","2","0","1","0","0","0","0","2","0"
"88","3","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","7","-1--0-0----------0--------","5","19","F","7","1100010020","1100010020","e1e0l0","-1--0-0-","--","-------0","--------","1","2","0","0","0","1","0","0","2","0"
"89","3","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ~held(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | NODE0 = NODE1","7","--1-00--1-----------------","5","20","F","4","1110000020","1110000020","e1e0h1","--1-00--","1-","--------","--------","1","2","1","0","0","0","0","0","2","0"
"90","3","forall NODE0,NODE2,NODE1. ~ep_epoch2(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch0(NODE2) | ep_epoch1(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","11","--1-00------------------1-","8","16","F","5","1100001030","1100001030","e1e0t1","--1-00--","--","--------","------1-","1","2","0","0","0","0","1","0","3","0"
"91","2","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | ep_epoch3(NODE1) | NODE0 = NODE1","7","--1-00-0------------------","5","17","F","4","1100000020","1100000020","e1e0","--1-00-0","--","--------","--------","1","3","0","0","0","0","0","0","2","0"
"92","3","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | held(NODE1) | NODE0 = NODE1","7","--1-00---0----------------","5","18","F","3","1101000020","1101000020","e1e0h0","--1-00--","-0","--------","--------","1","2","0","1","0","0","0","0","2","0"
"93","3","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","7","--1-00-----------0--------","5","19","F","7","1100010020","1100010020","e1e0l0","--1-00--","--","-------0","--------","1","2","0","0","0","1","0","0","2","0"
"94","3","forall NODE0,NODE1. ~ep_epoch3(NODE0) | ~locked_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | NODE0 = NODE1","7","---100--------1-----------","5","45","F","2","1100100020","1100100020","e1e0l1","---100--","--","----1---","--------","1","2","0","0","1","0","0","0","2","0"
"95","2","forall NODE0,NODE1. ~ep_epoch3(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","7","---1000-------------------","5","17","F","4","1100000020","1100000020","e1e0","---1000-","--","--------","--------","1","3","0","0","0","0","0","0","2","0"
"96","3","forall NODE0,NODE1. ~ep_epoch3(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","7","---100---------0----------","5","19","F","7","1100010020","1100010020","e1e0l0","---100--","--","-----0--","--------","1","2","0","0","0","1","0","0","2","0"
"97","3","forall NODE0,NODE1. ~held(NODE0) | ~locked_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | NODE0 = NODE1","7","----00--1-----1-----------","5","46","F","3","0110100020","0110100020","e0h1l1","----00--","1-","----1---","--------","0","2","1","0","1","0","0","0","2","0"
"98","2","forall NODE0,NODE1. ~held(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","7","----000-1-----------------","5","22","F","3","0110000020","0110000020","e0h1","----000-","1-","--------","--------","0","3","1","0","0","0","0","0","2","0"
"99","2","forall NODE0,NODE1. ~held(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | ep_epoch3(NODE0) | NODE0 = NODE1","7","---000--1-----------------","5","22","F","3","0110000020","0110000020","e0h1","---000--","1-","--------","--------","0","3","1","0","0","0","0","0","2","0"
"100","3","forall NODE0,NODE1. ~held(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","7","----00--1------0----------","5","23","F","9","0110010020","0110010020","e0h1l0","----00--","1-","-----0--","--------","0","2","1","0","0","1","0","0","2","0"
"101","3","forall NODE0,NODE1. ~held(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | locked_epoch3(NODE0) | NODE0 = NODE1","7","----00--1-------0---------","5","23","F","9","0110010020","0110010020","e0h1l0","----00--","1-","------0-","--------","0","2","1","0","0","1","0","0","2","0"
