"Orbit","pattern","SQI","qcost","Bit String","# literals","Group","Group Type","Group Size","Sig","Number sig","Literal sig","ep","held","locked","transfer","#ep=1","#ep=0","#held=1","#held=0","#locked=1","#locked=0","#transfer=1","#transfer=0","#forall","#exists"
"20","2","forall NODE0,NODE1. ~held(NODE0) | ~transfer_epoch2(NODE1)","4","------1-----------1-","2","12","F","1","0010001020","0010001020","h1t1","------","1-","------","----1-","0","0","1","0","0","0","1","0","2","0"
"21","1","exists NODE0. ~locked_epoch2(NODE0)","2","------------11------","1","3","E","1","l1","0000100001","l1","------","--","----11","------","0","0","0","0","2","0","0","0","0","1"
"22","2","forall NODE0,NODE1. ~locked_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","------------1-----1-","2","13","F","1","0000101020","0000101020","l1t1","------","--","----1-","----1-","0","0","0","0","1","0","1","0","2","0"
"23","2","forall NODE0. ~locked_epoch2(NODE0) | ep_epoch2(NODE0)","3","--0---------1-------","2","14","F","1","0100100010","0100100010","e0l1","--0---","--","----1-","------","0","1","0","0","1","0","0","0","1","0"
"24","2","forall NODE0. ~locked_epoch2(NODE0) | held(NODE0)","3","------0-----1-------","2","15","F","1","0001100010","0001100010","h0l1","------","0-","----1-","------","0","0","0","1","1","0","0","0","1","0"
"25","1","exists NODE0. ~transfer_epoch2(NODE0)","2","------------------11","1","4","E","1","t1","0000001001","t1","------","--","------","----11","0","0","0","0","0","0","2","0","0","1"
"26","3","forall NODE2,NODE0,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch2(NODE1) | ep_epoch1(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","1---0-------------1-","7","16","F","2","1100001030","1100001030","e1e0t1","1---0-","--","------","----1-","1","1","0","0","0","0","1","0","3","0"
"27","2","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","6","1---00--------------","4","17","F","3","1100000020","1100000020","e1e0","1---00","--","------","------","1","2","0","0","0","0","0","0","2","0"
"28","3","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | held(NODE1) | NODE0 = NODE1","6","1---0--0------------","4","18","F","2","1101000020","1101000020","e1e0h0","1---0-","-0","------","------","1","1","0","1","0","0","0","0","2","0"
"29","3","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","1---0--------0------","4","19","F","2","1100010020","1100010020","e1e0l0","1---0-","--","-----0","------","1","1","0","0","0","1","0","0","2","0"
"30","3","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE0) | ep_epoch0(NODE1) | NODE0 = NODE1","6","-1-0--1-------------","4","20","F","2","1110000020","1110000020","e1e0h1","-1-0--","1-","------","------","1","1","1","0","0","0","0","0","2","0"
"31","3","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","6","-1---0-1------------","4","20","F","2","1110000020","1110000020","e1e0h1","-1---0","-1","------","------","1","1","1","0","0","0","0","0","2","0"
"32","3","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1-----1-----0------","4","21","F","1","1010010020","1010010020","e1h1l0","-1----","-1","-----0","------","1","0","1","0","0","1","0","0","2","0"
"33","3","forall NODE2,NODE0,NODE1. ~ep_epoch1(NODE0) | ~transfer_epoch2(NODE1) | ep_epoch0(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","-1-0--------------1-","7","16","F","2","1100001030","1100001030","e1e0t1","-1-0--","--","------","----1-","1","1","0","0","0","0","1","0","3","0"
"34","2","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","6","-1-0-0--------------","4","17","F","3","1100000020","1100000020","e1e0","-1-0-0","--","------","------","1","2","0","0","0","0","0","0","2","0"
"35","3","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ep_epoch0(NODE1) | held(NODE1) | NODE0 = NODE1","6","-1-0---0------------","4","18","F","2","1101000020","1101000020","e1e0h0","-1-0--","-0","------","------","1","1","0","1","0","0","0","0","2","0"
"36","3","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ep_epoch0(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1-0---------0------","4","19","F","2","1100010020","1100010020","e1e0l0","-1-0--","--","-----0","------","1","1","0","0","0","1","0","0","2","0"
"37","2","forall NODE0,NODE1. ~ep_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | NODE0 = NODE1","6","--100---------------","4","17","F","3","1100000020","1100000020","e1e0","--100-","--","------","------","1","2","0","0","0","0","0","0","2","0"
"38","2","forall NODE0,NODE1. ~held(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | NODE0 = NODE1","6","---00-1-------------","4","22","F","2","0110000020","0110000020","e0h1","---00-","1-","------","------","0","2","1","0","0","0","0","0","2","0"
"39","2","forall NODE0,NODE1. ~held(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE0) | NODE0 = NODE1","6","--00--1-------------","4","22","F","2","0110000020","0110000020","e0h1","--00--","1-","------","------","0","2","1","0","0","0","0","0","2","0"
"40","3","forall NODE0,NODE1. ~held(NODE0) | ep_epoch0(NODE1) | locked_epoch2(NODE0) | NODE0 = NODE1","6","---0--1-----0-------","4","23","F","1","0110010020","0110010020","e0h1l0","---0--","1-","----0-","------","0","1","1","0","0","1","0","0","2","0"
"41","2","forall NODE0. ~held(NODE0) | ep_epoch1(NODE0) | ep_epoch2(NODE0)","4","-00---1-------------","3","24","F","1","0110000010","0110000010","e0h1","-00---","1-","------","------","0","2","1","0","0","0","0","0","1","0"
"42","3","forall NODE0. ~held(NODE0) | ep_epoch1(NODE0) | locked_epoch2(NODE0)","4","-0----1-----0-------","3","25","F","1","0110010010","0110010010","e0h1l0","-0----","1-","----0-","------","0","1","1","0","0","1","0","0","1","0"
"43","2","forall NODE0,NODE1. ~locked_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1) | NODE0 = NODE1","6","---00-------1-------","4","26","F","1","0100100020","0100100020","e0l1","---00-","--","----1-","------","0","2","0","0","1","0","0","0","2","0"
"44","2","forall NODE0,NODE1. ~transfer_epoch2(NODE0) | ep_epoch0(NODE0) | ep_epoch0(NODE1) | NODE0 = NODE1","6","0--0--------------1-","4","27","F","3","0100001020","0100001020","e0t1","0--0--","--","------","----1-","0","2","0","0","0","0","1","0","2","0"
"45","2","forall NODE0,NODE1. ~transfer_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1)","5","00----------------1-","3","27","F","3","0100001020","0100001020","e0t1","00----","--","------","----1-","0","2","0","0","0","0","1","0","2","0"
"46","2","forall NODE0,NODE1. ~transfer_epoch2(NODE0) | ep_epoch1(NODE0) | ep_epoch1(NODE1) | NODE0 = NODE1","6","-0--0-------------1-","4","27","F","3","0100001020","0100001020","e0t1","-0--0-","--","------","----1-","0","2","0","0","0","0","1","0","2","0"
"47","1","forall NODE0. ep_epoch0(NODE0) | ep_epoch1(NODE0) | ep_epoch2(NODE0)","4","000-----------------","3","28","F","1","0100000010","0100000010","e0","000---","--","------","------","0","3","0","0","0","0","0","0","1","0"
"48","2","forall NODE0. ep_epoch0(NODE0) | ep_epoch1(NODE0) | held(NODE0)","4","00----0-------------","3","29","F","1","0101000010","0101000010","e0h0","00----","0-","------","------","0","2","0","1","0","0","0","0","1","0"
"49","2","forall NODE0. ep_epoch0(NODE0) | ep_epoch1(NODE0) | locked_epoch2(NODE0)","4","00----------0-------","3","30","F","1","0100010010","0100010010","e0l0","00----","--","----0-","------","0","2","0","0","0","1","0","0","1","0"
"50","3","forall NODE0,NODE1. ~ep_epoch0(NODE0) | held(NODE1) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","7","1------0----------00","5","31","F","1","1001000120","1001000120","e1h0t0","1-----","-0","------","----00","1","0","0","1","0","0","0","2","2","0"
"51","1","exists NODE0. ep_epoch0(NODE0) | ep_epoch1(NODE0)","3","00-00---------------","2","5","E","3","e0","0100000001","e0","00-00-","--","------","------","0","4","0","0","0","0","0","0","0","1"
"52","1","exists NODE0. ep_epoch0(NODE0) | ep_epoch2(NODE0)","3","0-00-0--------------","2","5","E","3","e0","0100000001","e0","0-00-0","--","------","------","0","4","0","0","0","0","0","0","0","1"
"53","2","forall NODE0,NODE1. ep_epoch0(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE1) | held(NODE0) | NODE0 = NODE1","7","0-00---0------------","5","32","F","2","0101000020","0101000020","e0h0","0-00--","-0","------","------","0","3","0","1","0","0","0","0","2","0"
"54","2","forall NODE0,NODE1. ep_epoch0(NODE0) | ep_epoch0(NODE1) | ep_epoch2(NODE0) | locked_epoch2(NODE1) | NODE0 = NODE1","7","0-00---------0------","5","33","F","2","0100010020","0100010020","e0l0","0-00--","--","-----0","------","0","3","0","0","0","1","0","0","2","0"
"55","2","exists NODE0. ep_epoch0(NODE0) | held(NODE0)","3","0--0--00------------","2","6","E","2","e0h0","0101000001","e0h0","0--0--","00","------","------","0","2","0","2","0","0","0","0","0","1"
"56","3","forall NODE0,NODE1. ep_epoch0(NODE0) | ep_epoch0(NODE1) | held(NODE0) | locked_epoch2(NODE1) | NODE0 = NODE1","7","0--0--0------0------","5","34","F","2","0101010020","0101010020","e0h0l0","0--0--","0-","-----0","------","0","2","0","1","0","1","0","0","2","0"
"57","2","exists NODE0. ep_epoch0(NODE0) | locked_epoch2(NODE0)","3","0--0--------00------","2","7","E","2","e0l0","0100010001","e0l0","0--0--","--","----00","------","0","2","0","0","0","2","0","0","0","1"
"58","1","exists NODE0. ep_epoch1(NODE0) | ep_epoch2(NODE0)","3","-00-00--------------","2","5","E","3","e0","0100000001","e0","-00-00","--","------","------","0","4","0","0","0","0","0","0","0","1"
"59","2","forall NODE0,NODE1. ep_epoch1(NODE0) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | held(NODE0) | NODE0 = NODE1","7","-00-0--0------------","5","32","F","2","0101000020","0101000020","e0h0","-00-0-","-0","------","------","0","3","0","1","0","0","0","0","2","0"
"60","2","forall NODE0,NODE1. ep_epoch1(NODE0) | ep_epoch1(NODE1) | ep_epoch2(NODE1) | locked_epoch2(NODE0) | NODE0 = NODE1","7","-00-0--------0------","5","33","F","2","0100010020","0100010020","e0l0","-00-0-","--","-----0","------","0","3","0","0","0","1","0","0","2","0"
"61","2","exists NODE0. ep_epoch1(NODE0) | held(NODE0)","3","-0--0-00------------","2","6","E","2","e0h0","0101000001","e0h0","-0--0-","00","------","------","0","2","0","2","0","0","0","0","0","1"
"62","3","forall NODE0,NODE1. ep_epoch1(NODE0) | ep_epoch1(NODE1) | held(NODE0) | locked_epoch2(NODE1) | NODE0 = NODE1","7","-0--0-0------0------","5","34","F","2","0101010020","0101010020","e0h0l0","-0--0-","0-","-----0","------","0","2","0","1","0","1","0","0","2","0"
"63","2","exists NODE0. ep_epoch1(NODE0) | locked_epoch2(NODE0)","3","-0--0-------00------","2","7","E","2","e0l0","0100010001","e0l0","-0--0-","--","----00","------","0","2","0","0","0","2","0","0","0","1"
"64","2","exists NODE0. held(NODE0) | transfer_epoch2(NODE0)","3","------00----------00","2","8","E","1","h0t0","0001000101","h0t0","------","00","------","----00","0","0","0","2","0","0","0","2","0","1"
"65","4","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ep_epoch2(NODE1) | held(NODE0) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","-1---00-----------00","6","35","F","1","1101000120","1101000120","e1e0h0t0","-1---0","0-","------","----00","1","1","0","1","0","0","0","2","2","0"
"66","4","forall NODE0,NODE1. ~ep_epoch1(NODE0) | held(NODE0) | locked_epoch2(NODE1) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","-1----0------0----00","6","36","F","1","1001010120","1001010120","e1h0l0t0","-1----","0-","-----0","----00","1","0","0","1","0","1","0","2","2","0"
"67","3","forall NODE0,NODE1. ep_epoch0(NODE0) | ep_epoch2(NODE1) | held(NODE0) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","0----00-----------00","6","37","F","2","0101000120","0101000120","e0h0t0","0----0","0-","------","----00","0","2","0","1","0","0","0","2","2","0"
"68","4","forall NODE0,NODE1. ep_epoch0(NODE0) | held(NODE0) | locked_epoch2(NODE1) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","0-----0------0----00","6","38","F","2","0101010120","0101010120","e0h0l0t0","0-----","0-","-----0","----00","0","1","0","1","0","1","0","2","2","0"
"69","3","forall NODE0,NODE1. ep_epoch1(NODE0) | ep_epoch2(NODE0) | held(NODE1) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","-00----0----------00","6","37","F","2","0101000120","0101000120","e0h0t0","-00---","-0","------","----00","0","2","0","1","0","0","0","2","2","0"
"70","4","forall NODE0,NODE1. ep_epoch1(NODE0) | held(NODE1) | locked_epoch2(NODE0) | transfer_epoch2(NODE0) | transfer_epoch2(NODE1) | NODE0 = NODE1","8","-0-----0----0-----00","6","38","F","2","0101010120","0101010120","e0h0l0t0","-0----","-0","----0-","----00","0","1","0","1","0","1","0","2","2","0"
