"Orbit","SQI","qcost","Bit String","# literals","Group","Group Size","Sig"
"25","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~transfer_epoch3(NODE1)","4","---1--------------------------------1--","2","11","3","1000001020"
"26","forall NODE0. ~ep_epoch3(NODE0) | held(NODE0)","3","---1--------0--------------------------","2","0","182","1001000010"
"27","forall NODE0. ~ep_epoch3(NODE0) | locked_epoch3(NODE0)","3","---1--------------------0--------------","2","5","2","1000010010"
"28","forall NODE1,NODE0. ~held(NODE0) | ~held(NODE1) | NODE0 = NODE1","5","------------11-------------------------","3","0","182","0020000020"
"29","forall NODE1,NODE0. ~held(NODE0) | ~locked_epoch3(NODE1) | NODE0 = NODE1","5","------------1------------1-------------","3","0","182","0010100020"
"30","forall NODE1,NODE0. ~held(NODE0) | ~transfer_epoch2(NODE1)","4","------------1--------------------1-----","2","9","2","0010001020"
"31","forall NODE1,NODE0. ~held(NODE0) | ~transfer_epoch3(NODE1)","4","------------1-----------------------1--","2","9","2","0010001020"
"32","forall NODE1,NODE0. ~locked_epoch2(NODE0) | ~locked_epoch2(NODE1) | NODE0 = NODE1","5","---------------------11----------------","3","13","2","0000200020"
"33","forall NODE1,NODE0. ~locked_epoch2(NODE0) | ~transfer_epoch2(NODE1)","4","---------------------1-----------1-----","2","8","3","0000101020"
"34","forall NODE1,NODE0. ~locked_epoch3(NODE0) | ~locked_epoch3(NODE1) | NODE0 = NODE1","5","------------------------11-------------","3","13","2","0000200020"
"35","forall NODE1,NODE0. ~locked_epoch3(NODE0) | ~transfer_epoch2(NODE1)","4","------------------------1--------1-----","2","8","3","0000101020"
"36","forall NODE1,NODE0. ~locked_epoch3(NODE0) | ~transfer_epoch3(NODE1)","4","------------------------1-----------1--","2","8","3","0000101020"
"37","forall NODE0. ~locked_epoch3(NODE0) | ep_epoch3(NODE0)","3","---0--------------------1--------------","2","0","182","0100100010"
"38","forall NODE0. ~locked_epoch3(NODE0) | held(NODE0)","3","------------0-----------1--------------","2","0","182","0001100010"
"39","forall NODE1,NODE0. ~transfer_epoch2(NODE0) | ~transfer_epoch2(NODE1) | NODE0 = NODE1","5","---------------------------------11----","3","12","3","0000002020"
"40","forall NODE1,NODE0. ~transfer_epoch2(NODE0) | ~transfer_epoch3(NODE1)","4","---------------------------------1--1--","2","12","3","0000002020"
"41","forall NODE1,NODE0. ~transfer_epoch3(NODE0) | ~transfer_epoch3(NODE1) | NODE0 = NODE1","5","------------------------------------11-","3","12","3","0000002020"
"42","exists NODE0. ~ep_epoch0(NODE0)","2","1---1---1------------------------------","1","0","182","3000000001"
"43","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE1) | ~held(NODE0) | NODE0 = NODE1","6","-1----1-----1--------------------------","4","0","182","2010000020"
"44","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~held(NODE0) | ~locked_epoch2(NODE1) | NODE0 = NODE1","6","-1----------1---------1----------------","4","0","182","1010100020"
"45","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~held(NODE0) | ep_epoch0(NODE1) | NODE0 = NODE1","6","-1--0-------1--------------------------","4","23","2","1110000020"
"46","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~transfer_epoch2(NODE1) | ep_epoch0(NODE2) | ((NODE0 = NODE2 & NODE0 ~= NODE1) | (NODE0 = NODE1 & NODE0 = NODE2))","10","-1--0----------------------------1-----","7","0","182","1100001030"
"47","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ~held(NODE1) | ep_epoch3(NODE1) | NODE0 = NODE1","6","--1----0-----1-------------------------","4","23","2","1110000020"
"48","forall NODE1,NODE0. ~ep_epoch2(NODE0) | ~held(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","6","--1----------1-----------0-------------","4","0","182","1010010020"
"49","forall NODE1,NODE0. ~ep_epoch3(NODE0) | ~locked_epoch2(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","6","---1--0---------------1----------------","4","0","182","1100100020"
"50","forall NODE1,NODE0. ~held(NODE0) | ~locked_epoch2(NODE1) | ep_epoch2(NODE1) | NODE0 = NODE1","6","------0-----1---------1----------------","4","18","2","0110100020"
"51","forall NODE1,NODE0. ~held(NODE0) | ~locked_epoch2(NODE1) | ep_epoch3(NODE0) | NODE0 = NODE1","6","---0--------1---------1----------------","4","18","2","0110100020"
"52","forall NODE1,NODE0. ~held(NODE0) | ~locked_epoch2(NODE1) | locked_epoch3(NODE0) | NODE0 = NODE1","6","------------1---------1-0--------------","4","0","182","0010110020"
"53","forall NODE1,NODE0. ~locked_epoch2(NODE0) | ~locked_epoch3(NODE1) | ep_epoch2(NODE0) | NODE0 = NODE1","6","--0------------------1---1-------------","4","0","182","0100200020"
"54","forall NODE1,NODE0. ~locked_epoch2(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch2(NODE0)","5","--0------------------1--------------1--","3","0","182","0100101020"
"55","forall NODE0. ~locked_epoch2(NODE0) | ep_epoch2(NODE0) | ep_epoch3(NODE0)","4","--00-----------------1-----------------","3","0","182","0200100010"
"56","forall NODE0. ~locked_epoch2(NODE0) | ep_epoch2(NODE0) | held(NODE0)","4","--0---------0--------1-----------------","3","0","182","0101100010"
"57","forall NODE0. ~locked_epoch2(NODE0) | ep_epoch2(NODE0) | locked_epoch3(NODE0)","4","--0------------------1--0--------------","3","0","182","0100110010"
"58","forall NODE1,NODE0,NODE2. ~transfer_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch0(NODE2) | ((NODE1 = NODE2 & NODE0 ~= NODE1) | (NODE0 = NODE1 & NODE0 = NODE2))","10","0---0----------------------------1-----","7","0","182","0200001030"
"59","forall NODE1,NODE0. ~transfer_epoch2(NODE0) | ep_epoch0(NODE1) | ep_epoch1(NODE1)","5","00-------------------------------1-----","3","0","182","0200001020"
"60","forall NODE1,NODE3,NODE0,NODE2. ~ep_epoch0(NODE0) | ~ep_epoch0(NODE1) | ~ep_epoch1(NODE2) | ~transfer_epoch3(NODE3) | ((NODE2 ~= NODE3 | NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE3 | NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1))","16","1---1----1--------------------------1--","12","0","182","3000001040"
"61","forall NODE1. ~ep_epoch3(NODE1) | locked_epoch2(NODE1) | (exists NODE0. (~ep_epoch0(NODE0) & NODE0 ~= NODE1))","6","1---1------1-----------0---------------","4","0","182","3000010011"
"62","forall NODE1. ~locked_epoch3(NODE1) | locked_epoch2(NODE1) | (exists NODE0. (~ep_epoch0(NODE0) & NODE0 ~= NODE1))","6","1---1------------------0--1------------","4","0","182","2000110011"
"63","forall NODE1,NODE3,NODE0,NODE2. ~ep_epoch0(NODE0) | ~ep_epoch0(NODE1) | ~transfer_epoch2(NODE2) | ep_epoch1(NODE3) | ((NODE0 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3) & (NODE2 ~= NODE3 | NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1))","16","1---1----0-----------------------1-----","12","108","4","2100001040"
"64","forall NODE1,NODE3,NODE0,NODE2. ~ep_epoch0(NODE0) | ~ep_epoch0(NODE1) | ~transfer_epoch3(NODE2) | ep_epoch2(NODE3) | ((NODE2 ~= NODE3 | NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3))","16","1---1-----0-------------------------1--","12","108","4","2100001040"
"65","forall NODE1,NODE3,NODE0,NODE2. ~ep_epoch0(NODE0) | ~ep_epoch0(NODE1) | ~transfer_epoch3(NODE2) | locked_epoch2(NODE3) | ((NODE2 ~= NODE3 | NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3))","16","1---1------------------0------------1--","12","107","2","2000011040"
"66","forall NODE1. ep_epoch1(NODE1) | locked_epoch2(NODE1) | (exists NODE0. (~ep_epoch0(NODE0) & NODE0 ~= NODE1))","6","1---1----0-------------0---------------","4","0","182","2100010011"
"67","forall NODE1,NODE0,NODE2. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE1) | ~ep_epoch3(NODE2) | locked_epoch2(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","1----1-----1-----------0---------------","7","0","182","3000010030"
"68","forall NODE1,NODE0,NODE2. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE1) | ~held(NODE2) | locked_epoch2(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","1----1--------1--------0---------------","7","0","182","2010010030"
"69","forall NODE1,NODE0,NODE2. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE1) | ~locked_epoch3(NODE2) | locked_epoch2(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","1----1-----------------0--1------------","7","0","182","2000110030"
"70","forall NODE1,NODE3,NODE0,NODE2. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE1) | ~transfer_epoch3(NODE2) | ep_epoch2(NODE3) | ((NODE1 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3) & (NODE0 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3) & (NODE2 ~= NODE3 | NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1))","20","1----1----0-------------------------1--","16","108","4","2100001040"
"71","forall NODE1,NODE3,NODE0,NODE2. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE1) | ~transfer_epoch3(NODE2) | locked_epoch2(NODE3) | ((NODE1 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3) & (NODE0 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3) & (NODE2 ~= NODE3 | NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1))","20","1----1-----------------0------------1--","16","107","2","2000011040"
"72","forall NODE1,NODE0,NODE2. ~ep_epoch0(NODE0) | ~ep_epoch1(NODE1) | ep_epoch0(NODE2) | locked_epoch2(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","1----1--0--------------0---------------","7","54","5","2100010030"
"73","forall NODE1,NODE0,NODE2. ~ep_epoch0(NODE0) | ~ep_epoch3(NODE1) | ep_epoch2(NODE2) | locked_epoch2(NODE1) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","1------1--0-----------0----------------","7","54","5","2100010030"
"74","forall NODE1,NODE0,NODE2. ~ep_epoch0(NODE0) | ~ep_epoch3(NODE1) | locked_epoch2(NODE1) | locked_epoch2(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","1------1--------------00---------------","7","53","2","2000020030"
"75","forall NODE1,NODE0,NODE2. ~ep_epoch0(NODE0) | ~locked_epoch3(NODE1) | ep_epoch2(NODE2) | locked_epoch2(NODE1) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","1---------0-----------0--1-------------","7","49","4","1100110030"
"76","forall NODE1,NODE0,NODE2. ~ep_epoch0(NODE0) | ~locked_epoch3(NODE1) | locked_epoch2(NODE1) | locked_epoch2(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","1---------------------00-1-------------","7","47","2","1000120030"
"77","forall NODE1,NODE3,NODE0,NODE2. ~ep_epoch0(NODE0) | ~transfer_epoch2(NODE1) | ep_epoch1(NODE2) | ep_epoch1(NODE3) | ((NODE1 ~= NODE3 | NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE2 = NODE3 | NODE0 = NODE2 | NODE0 = NODE3))","16","1----0---0-----------------------1-----","12","106","5","1200001040"
"78","forall NODE1,NODE3,NODE0,NODE2. ~ep_epoch0(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch2(NODE2) | ep_epoch2(NODE3) | ((NODE1 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3) & (NODE0 ~= NODE1 | NODE2 = NODE3 | NODE0 = NODE2 | NODE0 = NODE3))","16","1-----0---0-------------------------1--","12","106","5","1200001040"
"79","forall NODE1,NODE3,NODE0,NODE2. ~ep_epoch0(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch2(NODE2) | locked_epoch2(NODE3) | ((NODE1 ~= NODE3 | NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1) & (NODE1 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3) & (NODE0 ~= NODE1 | NODE2 = NODE3 | NODE0 = NODE2 | NODE0 = NODE3))","20","1-----0----------------0------------1--","16","121","2","1100011040"
"80","forall NODE1,NODE3,NODE0,NODE2. ~ep_epoch0(NODE0) | ~transfer_epoch3(NODE1) | locked_epoch2(NODE2) | locked_epoch2(NODE3) | ((NODE1 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3) & (NODE0 ~= NODE1 | NODE2 = NODE3 | NODE0 = NODE2 | NODE0 = NODE3))","16","1---------------------00------------1--","12","105","2","1000021040"
"81","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE1) | ~held(NODE1) | ep_epoch0(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1----1-0----1-------------------------","7","0","182","2110000030"
"82","forall NODE1,NODE3,NODE0,NODE2. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE1) | ~transfer_epoch3(NODE2) | ep_epoch0(NODE3) | ((NODE0 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3) & (NODE2 ~= NODE3 | NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1) & (NODE1 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3))","20","-1----1-0---------------------------1--","16","108","4","2100001040"
"83","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE1) | ep_epoch0(NODE2) | ep_epoch3(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1----1-0--0---------------------------","7","55","3","2200000030"
"84","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE1) | ep_epoch0(NODE2) | held(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1----1-0-----0------------------------","7","0","182","2101000030"
"85","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE1) | ep_epoch0(NODE2) | locked_epoch3(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1----1-0-----------------0------------","7","54","5","2100010030"
"86","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE1) | ~locked_epoch2(NODE1) | ep_epoch0(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1-----10-------------1----------------","7","0","182","2100100030"
"87","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE1) | ep_epoch0(NODE2) | ep_epoch2(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1-----10-0----------------------------","7","55","3","2200000030"
"88","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE1) | ep_epoch0(NODE2) | locked_epoch2(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1-----10--------------0---------------","7","54","5","2100010030"
"89","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE1) | ep_epoch2(NODE2) | locked_epoch2(NODE1) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1-----1--0-----------0----------------","7","54","5","2100010030"
"90","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE1) | locked_epoch2(NODE1) | locked_epoch2(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1-----1--------------00---------------","7","53","2","2000020030"
"91","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~held(NODE1) | ~locked_epoch2(NODE1) | ep_epoch0(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1------0----1--------1----------------","7","0","182","1110100030"
"92","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~held(NODE1) | ep_epoch0(NODE2) | ep_epoch2(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1------0-0--1-------------------------","7","52","3","1210000030"
"93","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~held(NODE1) | ep_epoch0(NODE2) | ep_epoch3(NODE1) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1-----00----1-------------------------","7","52","3","1210000030"
"94","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~held(NODE1) | ep_epoch0(NODE2) | locked_epoch2(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1------0----1---------0---------------","7","50","3","1110010030"
"95","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~held(NODE1) | ep_epoch0(NODE2) | locked_epoch3(NODE1) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1------0----1-----------0-------------","7","50","3","1110010030"
"96","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~held(NODE1) | ep_epoch2(NODE1) | ep_epoch3(NODE1) | NODE0 = NODE1","7","-1----00-----1-------------------------","5","0","182","1210000020"
"97","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~held(NODE1) | ep_epoch2(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","7","-1----0------1-----------0-------------","5","32","2","1110010020"
"98","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~held(NODE1) | ep_epoch2(NODE2) | locked_epoch2(NODE1) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1--------0--1--------0----------------","7","50","3","1110010030"
"99","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~held(NODE1) | ep_epoch3(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","7","-1-----0-----1--------0----------------","5","32","2","1110010020"
"100","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~held(NODE1) | locked_epoch2(NODE1) | locked_epoch2(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1-----------1--------00---------------","7","0","182","1010020030"
"101","forall NODE1,NODE0. ~ep_epoch1(NODE0) | ~held(NODE1) | locked_epoch2(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","7","-1-----------1--------0--0-------------","5","0","182","1010020020"
"102","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE1) | ~locked_epoch3(NODE1) | ep_epoch0(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1------0-------------1--1-------------","7","0","182","1100200030"
"103","forall NODE1,NODE3,NODE0,NODE2. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE1) | ~transfer_epoch3(NODE2) | ep_epoch0(NODE3) | ((NODE0 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3) & (NODE2 ~= NODE3 | NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1) & (NODE1 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3))","20","-1------0-------------1-------------1--","16","0","182","1100101040"
"104","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE1) | ep_epoch0(NODE2) | ep_epoch2(NODE1) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1----0-0-------------1----------------","7","51","5","1200100030"
"105","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE1) | ep_epoch0(NODE2) | ep_epoch3(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1------0--0----------1----------------","7","51","5","1200100030"
"106","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE1) | ep_epoch0(NODE2) | held(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1------0-----0-------1----------------","7","0","182","1101100030"
"107","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~locked_epoch2(NODE1) | ep_epoch0(NODE2) | locked_epoch3(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1------0-------------1---0------------","7","49","4","1100110030"
"108","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~locked_epoch3(NODE1) | ep_epoch0(NODE2) | ep_epoch2(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1------0-0--------------1-------------","7","51","5","1200100030"
"109","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~locked_epoch3(NODE1) | ep_epoch0(NODE2) | locked_epoch2(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1------0--------------0-1-------------","7","49","4","1100110030"
"110","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~locked_epoch3(NODE1) | ep_epoch2(NODE2) | locked_epoch2(NODE1) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1--------0-----------0--1-------------","7","49","4","1100110030"
"111","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~locked_epoch3(NODE1) | locked_epoch2(NODE1) | locked_epoch2(NODE2) | (NODE0 = NODE2 | NODE1 = NODE2 | NODE0 = NODE1)","10","-1--------------------00-1-------------","7","47","2","1000120030"
"112","forall NODE1,NODE3,NODE0,NODE2. ~ep_epoch1(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch0(NODE2) | ep_epoch0(NODE3) | ((NODE0 ~= NODE1 | NODE2 = NODE3 | NODE0 = NODE2 | NODE0 = NODE3) & (NODE1 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3))","16","-1--0---0---------------------------1--","12","106","5","1200001040"
"113","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch0(NODE2) | ep_epoch2(NODE2) | ((NODE0 = NODE2 & NODE0 ~= NODE1) | (NODE0 = NODE1 & NODE0 = NODE2))","11","-1--0-0-----------------------------1--","8","62","2","1200001030"
"114","forall NODE1,NODE0,NODE2. ~ep_epoch1(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch0(NODE2) | locked_epoch2(NODE2) | ((NODE0 = NODE2 & NODE0 ~= NODE1) | (NODE0 = NODE1 & NODE0 = NODE2))","11","-1--0-----------------0-------------1--","8","0","182","1100011030"
"115","forall NODE1,NODE3,NODE0,NODE2. ~ep_epoch1(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch2(NODE2) | ep_epoch2(NODE3) | ((NODE0 ~= NODE1 | NODE2 = NODE3 | NODE0 = NODE2 | NODE0 = NODE3) & (NODE1 ~= NODE2 | NODE0 = NODE3 | NODE0 = NODE1 | NODE1 = NODE3))","16","-1----0---0-------------------------1--","12","106","5","1200001040"
