[runlim] version:		2.0.0rc12
[runlim] sample:		386.55 time, 400.01 real, 86 MB, 1.08 load
[runlim] sample:		396.51 time, 410.01 real, 87 MB, 1.07 load
[runlim] sample:		406.48 time, 420.01 real, 87 MB, 1.14 load
[runlim] sample:		416.45 time, 430.01 real, 88 MB, 1.27 load
[runlim] sample:		426.42 time, 440.01 real, 88 MB, 1.23 load
[runlim] sample:		436.39 time, 450.01 real, 89 MB, 1.19 load
[runlim] sample:		446.37 time, 460.01 real, 89 MB, 1.16 load
[runlim] sample:		456.34 time, 470.01 real, 90 MB, 1.14 load
[runlim] sample:		466.30 time, 480.01 real, 90 MB, 1.12 load
[runlim] sample:		476.27 time, 490.01 real, 91 MB, 1.10 load
[runlim] sample:		486.24 time, 500.01 real, 94 MB, 1.08 load
[runlim] sample:		496.21 time, 510.01 real, 94 MB, 1.07 load
[runlim] sample:		506.17 time, 520.01 real, 95 MB, 1.06 load
[runlim] sample:		516.15 time, 530.01 real, 95 MB, 1.05 load
[runlim] sample:		526.12 time, 540.01 real, 96 MB, 1.04 load
[runlim] sample:		536.09 time, 550.01 real, 97 MB, 1.03 load
[runlim] sample:		546.06 time, 560.01 real, 97 MB, 1.03 load
[runlim] sample:		556.03 time, 570.01 real, 98 MB, 1.02 load
[runlim] sample:		565.99 time, 580.01 real, 98 MB, 1.02 load
[runlim] sample:		575.96 time, 590.01 real, 99 MB, 1.02 load
[runlim] sample:		585.93 time, 600.01 real, 100 MB, 1.01 load
[runlim] sample:		595.90 time, 610.01 real, 102 MB, 1.01 load
[runlim] sample:		605.86 time, 620.01 real, 103 MB, 1.01 load
[runlim] sample:		615.83 time, 630.01 real, 104 MB, 1.01 load
[runlim] sample:		625.80 time, 640.01 real, 104 MB, 1.00 load
[runlim] sample:		635.77 time, 650.01 real, 105 MB, 1.00 load
[runlim] sample:		645.74 time, 660.01 real, 105 MB, 1.00 load
[runlim] sample:		655.72 time, 670.01 real, 106 MB, 1.00 load
[runlim] sample:		665.68 time, 680.01 real, 106 MB, 1.00 load
[runlim] sample:		675.65 time, 690.01 real, 107 MB, 1.00 load
[runlim] sample:		685.62 time, 700.01 real, 108 MB, 1.00 load
[runlim] sample:		695.58 time, 710.01 real, 108 MB, 1.00 load
[runlim] sample:		705.55 time, 720.01 real, 109 MB, 1.00 load
[runlim] sample:		715.52 time, 730.01 real, 109 MB, 1.00 load
[runlim] sample:		725.49 time, 740.01 real, 110 MB, 1.00 load
[runlim] sample:		735.46 time, 750.01 real, 110 MB, 1.00 load
[runlim] sample:		745.43 time, 760.01 real, 111 MB, 1.00 load
[runlim] sample:		755.40 time, 770.01 real, 112 MB, 1.00 load
[runlim] sample:		765.37 time, 780.01 real, 112 MB, 1.00 load
[runlim] sample:		775.34 time, 790.01 real, 113 MB, 1.00 load
[runlim] sample:		785.32 time, 800.01 real, 113 MB, 1.00 load
[runlim] sample:		795.28 time, 810.01 real, 114 MB, 1.00 load
[runlim] sample:		805.25 time, 820.01 real, 114 MB, 1.00 load
[runlim] sample:		815.22 time, 830.01 real, 115 MB, 1.08 load
[runlim] sample:		825.19 time, 840.01 real, 116 MB, 1.07 load
[runlim] sample:		835.16 time, 850.01 real, 116 MB, 1.06 load
[runlim] sample:		845.13 time, 860.01 real, 117 MB, 1.05 load
[runlim] sample:		855.10 time, 870.01 real, 117 MB, 1.12 load
[runlim] sample:		865.07 time, 880.01 real, 118 MB, 1.10 load
[runlim] sample:		875.03 time, 890.01 real, 118 MB, 1.08 load
[runlim] sample:		885.01 time, 900.01 real, 119 MB, 1.07 load
[runlim] sample:		894.98 time, 910.01 real, 119 MB, 1.06 load
[runlim] sample:		904.95 time, 920.01 real, 120 MB, 1.13 load
[runlim] sample:		914.91 time, 930.01 real, 125 MB, 1.42 load
[runlim] sample:		924.88 time, 940.01 real, 125 MB, 1.35 load
[runlim] sample:		934.85 time, 950.01 real, 126 MB, 1.38 load
[runlim] sample:		944.82 time, 960.01 real, 126 MB, 1.32 load
[runlim] sample:		954.79 time, 970.01 real, 127 MB, 1.27 load
[runlim] sample:		964.76 time, 980.01 real, 128 MB, 1.23 load
[runlim] sample:		974.73 time, 990.01 real, 128 MB, 1.19 load
[runlim] sample:		984.70 time, 1000.01 real, 129 MB, 1.16 load
[runlim] sample:		994.67 time, 1010.01 real, 129 MB, 1.14 load
[runlim] sample:		1004.63 time, 1020.01 real, 130 MB, 1.12 load
[runlim] sample:		1014.60 time, 1030.01 real, 130 MB, 1.10 load
[runlim] sample:		1024.57 time, 1040.01 real, 131 MB, 1.08 load
[runlim] sample:		1034.54 time, 1050.01 real, 132 MB, 1.07 load
[runlim] sample:		1044.52 time, 1060.01 real, 132 MB, 1.06 load
[runlim] sample:		1054.49 time, 1070.01 real, 133 MB, 1.05 load
[runlim] sample:		1064.46 time, 1080.01 real, 133 MB, 1.04 load
[runlim] sample:		1074.42 time, 1090.01 real, 134 MB, 1.03 load
[runlim] sample:		1084.40 time, 1100.01 real, 135 MB, 1.03 load
[runlim] sample:		1094.36 time, 1110.01 real, 135 MB, 1.02 load
[runlim] sample:		1104.33 time, 1120.01 real, 136 MB, 1.02 load
[runlim] sample:		1114.30 time, 1130.01 real, 136 MB, 1.02 load
[runlim] sample:		1124.28 time, 1140.01 real, 137 MB, 1.01 load
[runlim] sample:		1134.25 time, 1150.01 real, 138 MB, 1.01 load
[runlim] sample:		1144.22 time, 1160.01 real, 138 MB, 1.01 load
[runlim] sample:		1154.18 time, 1170.01 real, 143 MB, 1.01 load
[runlim] sample:		1164.16 time, 1180.01 real, 143 MB, 1.00 load
[runlim] sample:		1174.12 time, 1190.01 real, 144 MB, 1.08 load
[runlim] sample:		1184.10 time, 1200.01 real, 145 MB, 1.07 load
[runlim] sample:		1194.06 time, 1210.01 real, 145 MB, 1.06 load
[runlim] sample:		1204.03 time, 1220.01 real, 146 MB, 1.05 load
[runlim] sample:		1214.01 time, 1230.01 real, 146 MB, 1.04 load
[runlim] sample:		1223.97 time, 1240.01 real, 147 MB, 1.04 load
[runlim] sample:		1233.94 time, 1250.01 real, 147 MB, 1.03 load
[runlim] sample:		1243.91 time, 1260.01 real, 148 MB, 1.02 load
[runlim] sample:		1253.88 time, 1270.01 real, 148 MB, 1.02 load
[runlim] sample:		1263.85 time, 1280.01 real, 149 MB, 1.02 load
[runlim] sample:		1273.82 time, 1290.01 real, 150 MB, 1.01 load
[runlim] sample:		1283.79 time, 1300.01 real, 150 MB, 1.01 load
[runlim] sample:		1293.76 time, 1310.01 real, 151 MB, 1.01 load
[runlim] sample:		1303.72 time, 1320.01 real, 152 MB, 1.01 load
[runlim] sample:		1313.70 time, 1330.01 real, 152 MB, 1.01 load
[runlim] sample:		1323.67 time, 1340.01 real, 152 MB, 1.00 load
[runlim] sample:		1333.64 time, 1350.01 real, 153 MB, 1.00 load
[runlim] sample:		1343.60 time, 1360.01 real, 153 MB, 1.00 load
[runlim] sample:		1353.57 time, 1370.01 real, 154 MB, 1.00 load
[runlim] sample:		1363.54 time, 1380.01 real, 155 MB, 1.00 load
[runlim] sample:		1373.52 time, 1390.01 real, 155 MB, 1.00 load
[runlim] sample:		1383.49 time, 1400.01 real, 156 MB, 1.00 load
[runlim] sample:		1393.45 time, 1410.01 real, 156 MB, 1.00 load
[runlim] sample:		1403.42 time, 1420.01 real, 157 MB, 1.08 load
[runlim] sample:		1413.39 time, 1430.01 real, 157 MB, 1.22 load
[runlim] sample:		1423.37 time, 1440.01 real, 158 MB, 1.19 load
[runlim] sample:		1433.33 time, 1450.01 real, 159 MB, 1.16 load
[runlim] sample:		1443.31 time, 1460.01 real, 159 MB, 1.13 load
[runlim] sample:		1453.28 time, 1470.01 real, 160 MB, 1.11 load
[runlim] sample:		1463.25 time, 1480.01 real, 160 MB, 1.09 load
[runlim] sample:		1473.22 time, 1490.01 real, 161 MB, 1.08 load
[runlim] sample:		1483.19 time, 1500.01 real, 161 MB, 1.07 load
[runlim] sample:		1493.16 time, 1510.01 real, 162 MB, 1.06 load
[runlim] sample:		1503.13 time, 1520.01 real, 163 MB, 1.05 load
[runlim] sample:		1513.11 time, 1530.01 real, 163 MB, 1.04 load
[runlim] sample:		1523.08 time, 1540.01 real, 164 MB, 1.03 load
[runlim] sample:		1533.05 time, 1550.01 real, 164 MB, 1.03 load
[runlim] sample:		1543.01 time, 1560.01 real, 165 MB, 1.02 load
[runlim] sample:		1552.99 time, 1570.01 real, 166 MB, 1.02 load
[runlim] sample:		1562.95 time, 1580.01 real, 166 MB, 1.02 load
[runlim] sample:		1572.93 time, 1590.01 real, 167 MB, 1.01 load
[runlim] sample:		1582.90 time, 1600.01 real, 167 MB, 1.01 load
[runlim] sample:		1592.87 time, 1610.01 real, 168 MB, 1.01 load
[runlim] sample:		1602.84 time, 1620.01 real, 168 MB, 1.01 load
[runlim] sample:		1612.82 time, 1630.01 real, 169 MB, 1.00 load
[runlim] sample:		1622.78 time, 1640.01 real, 169 MB, 1.00 load
[runlim] sample:		1632.75 time, 1650.01 real, 170 MB, 1.00 load
[runlim] sample:		1642.73 time, 1660.01 real, 171 MB, 1.00 load
[runlim] sample:		1652.70 time, 1670.01 real, 171 MB, 1.00 load
[runlim] sample:		1662.68 time, 1680.01 real, 172 MB, 1.00 load
[runlim] sample:		1672.65 time, 1690.01 real, 172 MB, 1.00 load
[runlim] sample:		1682.62 time, 1700.01 real, 173 MB, 1.00 load
[runlim] sample:		1692.59 time, 1710.01 real, 174 MB, 1.00 load
[runlim] sample:		1702.56 time, 1720.01 real, 174 MB, 1.00 load
[runlim] sample:		1712.53 time, 1730.01 real, 175 MB, 1.00 load
[runlim] sample:		1722.50 time, 1740.01 real, 175 MB, 1.00 load
[runlim] sample:		1732.47 time, 1750.01 real, 176 MB, 1.00 load
[runlim] sample:		1742.45 time, 1760.01 real, 177 MB, 1.00 load
[runlim] sample:		1752.41 time, 1770.01 real, 177 MB, 1.00 load
[runlim] sample:		1762.39 time, 1780.01 real, 178 MB, 1.00 load
[runlim] sample:		1772.36 time, 1790.01 real, 178 MB, 1.00 load
[runlim] sample:		1782.34 time, 1800.01 real, 179 MB, 1.00 load
[runlim] sample:		1792.31 time, 1810.01 real, 187 MB, 1.00 load
[runlim] sample:		1802.28 time, 1820.01 real, 188 MB, 1.00 load
[runlim] sample:		1812.25 time, 1830.01 real, 189 MB, 1.00 load
[runlim] sample:		1822.22 time, 1840.01 real, 189 MB, 1.00 load
[runlim] sample:		1832.19 time, 1850.01 real, 190 MB, 1.00 load
[runlim] sample:		1842.17 time, 1860.01 real, 190 MB, 1.00 load
[runlim] sample:		1852.14 time, 1870.01 real, 191 MB, 1.00 load
[runlim] sample:		1862.11 time, 1880.01 real, 191 MB, 1.00 load
[runlim] sample:		1872.08 time, 1890.01 real, 192 MB, 1.00 load
[runlim] sample:		1882.05 time, 1900.01 real, 192 MB, 1.00 load
[runlim] sample:		1892.02 time, 1910.01 real, 193 MB, 1.00 load
[runlim] sample:		1901.99 time, 1920.01 real, 194 MB, 1.08 load
[runlim] sample:		1911.96 time, 1930.01 real, 194 MB, 1.22 load
[runlim] sample:		1921.94 time, 1940.01 real, 194 MB, 1.19 load
[runlim] sample:		1931.90 time, 1950.01 real, 195 MB, 1.16 load
[runlim] sample:		1941.88 time, 1960.01 real, 196 MB, 1.13 load
[runlim] sample:		1951.85 time, 1970.01 real, 196 MB, 1.11 load
[runlim] sample:		1961.82 time, 1980.01 real, 197 MB, 1.09 load
[runlim] sample:		1971.79 time, 1990.01 real, 198 MB, 1.08 load
[runlim] sample:		1981.76 time, 2000.01 real, 198 MB, 1.07 load
[runlim] end:			Thu Jan  9 17:57:57 2025
[runlim] status:		out of time
[runlim] result:		2
[runlim] children:		19
[runlim] processes:		20
[runlim] real:			2001.06 seconds
[runlim] time:			1981.76 seconds
[runlim] space:			198 MB
[runlim] load:			1.42 maximum
[runlim] samples:		20000
