"Orbit","SQI","qcost","Bit String","# literals","Group","Group Size","Sig"
"100","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~ep_epoch2(NODE1) | ~transfer_epoch4(NODE2) | ((NODE0 ~= NODE2 | NODE0 = NODE1) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1-------1-------------------------1---","7","268","10","2000001030"
"101","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~ep_epoch2(NODE1) | ~transfer_epoch5(NODE2) | ((NODE0 ~= NODE2 | NODE0 = NODE1) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1-------1---------------------------1-","7","268","10","2000001030"
"102","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~ep_epoch3(NODE1) | ~transfer_epoch5(NODE2) | ((NODE0 ~= NODE2 | NODE0 = NODE1) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1--------1--------------------------1-","7","268","10","2000001030"
"103","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ~ep_epoch3(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","1--------1---------0------------------","4","43","16","2000010020"
"104","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ~ep_epoch4(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","1---------1--------0------------------","4","43","16","2000010020"
"105","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ~ep_epoch4(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","6","1---------1----------0----------------","4","43","16","2000010020"
"106","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ~ep_epoch5(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","1----------1-------0------------------","4","43","16","2000010020"
"107","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ~ep_epoch5(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","6","1----------1---------0----------------","4","43","16","2000010020"
"108","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ~ep_epoch5(NODE1) | locked_epoch4(NODE1) | NODE0 = NODE1","6","1----------1-----------0--------------","4","43","16","2000010020"
"109","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ~locked_epoch3(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","1------------------0-1----------------","4","38","16","1000110020"
"110","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ~locked_epoch4(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","1------------------0---1--------------","4","38","16","1000110020"
"111","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ~locked_epoch4(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","6","1--------------------0-1--------------","4","38","16","1000110020"
"112","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ~locked_epoch5(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","1------------------0-----1------------","4","38","16","1000110020"
"113","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ~locked_epoch5(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","6","1--------------------0---1------------","4","38","16","1000110020"
"114","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ~locked_epoch5(NODE1) | locked_epoch4(NODE1) | NODE0 = NODE1","6","1----------------------0-1------------","4","38","16","1000110020"
"115","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch2(NODE1) | ep_epoch1(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1------0----------------------1-------","7","261","11","1100001030"
"116","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch2(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1-------0-----------------------1-----","7","261","11","1100001030"
"117","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch3(NODE1) | locked_epoch2(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1------------------0------------1-----","7","259","16","1000011030"
"118","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch4(NODE1) | ep_epoch3(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1--------0------------------------1---","7","261","11","1100001030"
"119","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch4(NODE1) | locked_epoch2(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1------------------0--------------1---","7","259","16","1000011030"
"120","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch4(NODE1) | locked_epoch3(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1--------------------0------------1---","7","259","16","1000011030"
"121","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch5(NODE1) | ep_epoch4(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1---------0-------------------------1-","7","261","11","1100001030"
"122","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch5(NODE1) | locked_epoch2(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1------------------0----------------1-","7","259","16","1000011030"
"123","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch5(NODE1) | locked_epoch3(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1--------------------0--------------1-","7","259","16","1000011030"
"124","forall NODE0,NODE2,NODE1. ~ep_epoch0(NODE0) | ~transfer_epoch5(NODE1) | locked_epoch4(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","1----------------------0------------1-","7","259","16","1000011030"
"125","forall NODE0,NODE1. ~ep_epoch0(NODE0) | ep_epoch1(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","1------0-----------0------------------","4","41","3","1100010020"
"126","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE1) | ~held(NODE0) | NODE0 = NODE1","6","-1------1---1-------------------------","4","44","6","2010000020"
"127","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE1) | ~transfer_epoch4(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE2 | NODE0 = NODE1))","10","-1------1-------------------------1---","7","268","10","2000001030"
"128","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~ep_epoch2(NODE1) | ~transfer_epoch5(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE2 | NODE0 = NODE1))","10","-1------1---------------------------1-","7","268","10","2000001030"
"129","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE1) | ~held(NODE0) | NODE0 = NODE1","6","-1-------1--1-------------------------","4","44","6","2010000020"
"130","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE1) | ~transfer_epoch5(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE2 | NODE0 = NODE1))","10","-1-------1--------------------------1-","7","268","10","2000001030"
"131","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~ep_epoch3(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1-------1---------0------------------","4","43","16","2000010020"
"132","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~ep_epoch4(NODE1) | ~held(NODE0) | NODE0 = NODE1","6","-1--------1-1-------------------------","4","44","6","2010000020"
"133","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~ep_epoch4(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1--------1--------0------------------","4","43","16","2000010020"
"134","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~ep_epoch4(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","6","-1--------1----------0----------------","4","43","16","2000010020"
"135","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~ep_epoch5(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1---------1-------0------------------","4","43","16","2000010020"
"136","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~ep_epoch5(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","6","-1---------1---------0----------------","4","43","16","2000010020"
"137","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~ep_epoch5(NODE1) | locked_epoch4(NODE1) | NODE0 = NODE1","6","-1---------1-----------0--------------","4","43","16","2000010020"
"138","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE0) | ~locked_epoch2(NODE1) | NODE0 = NODE1","6","-1----------1------1------------------","4","40","6","1010100020"
"139","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE0) | ~locked_epoch3(NODE1) | NODE0 = NODE1","6","-1----------1--------1----------------","4","40","6","1010100020"
"140","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE0) | ~locked_epoch4(NODE1) | NODE0 = NODE1","6","-1----------1----------1--------------","4","40","6","1010100020"
"141","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE0) | ep_epoch0(NODE1) | NODE0 = NODE1","6","-1----0-----1-------------------------","4","42","2","1110000020"
"142","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~held(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1-----------1-----0------------------","4","39","4","1010010020"
"143","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~locked_epoch3(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1-----------------0-1----------------","4","38","16","1000110020"
"144","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~locked_epoch4(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1-----------------0---1--------------","4","38","16","1000110020"
"145","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~locked_epoch4(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","6","-1-------------------0-1--------------","4","38","16","1000110020"
"146","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~locked_epoch5(NODE1) | locked_epoch2(NODE1) | NODE0 = NODE1","6","-1-----------------0-----1------------","4","38","16","1000110020"
"147","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~locked_epoch5(NODE1) | locked_epoch3(NODE1) | NODE0 = NODE1","6","-1-------------------0---1------------","4","38","16","1000110020"
"148","forall NODE0,NODE1. ~ep_epoch1(NODE0) | ~locked_epoch5(NODE1) | locked_epoch4(NODE1) | NODE0 = NODE1","6","-1---------------------0-1------------","4","38","16","1000110020"
"149","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~transfer_epoch2(NODE1) | ep_epoch0(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","-1----0-----------------------1-------","7","261","11","1100001030"
"150","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~transfer_epoch3(NODE1) | ep_epoch2(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","-1------0-----------------------1-----","7","261","11","1100001030"
"151","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~transfer_epoch3(NODE1) | locked_epoch2(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","-1-----------------0------------1-----","7","259","16","1000011030"
"152","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~transfer_epoch4(NODE1) | ep_epoch3(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","-1-------0------------------------1---","7","261","11","1100001030"
"153","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~transfer_epoch4(NODE1) | locked_epoch2(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","-1-----------------0--------------1---","7","259","16","1000011030"
"154","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~transfer_epoch4(NODE1) | locked_epoch3(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","-1-------------------0------------1---","7","259","16","1000011030"
"155","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~transfer_epoch5(NODE1) | ep_epoch4(NODE2) | ((NODE1 ~= NODE2 | NODE0 = NODE1) & (NODE0 ~= NODE1 | NODE0 = NODE2))","10","-1--------0-------------------------1-","7","261","11","1100001030"
"156","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~transfer_epoch5(NODE1) | locked_epoch2(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","-1-----------------0----------------1-","7","259","16","1000011030"
"157","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~transfer_epoch5(NODE1) | locked_epoch3(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","-1-------------------0--------------1-","7","259","16","1000011030"
"158","forall NODE0,NODE2,NODE1. ~ep_epoch1(NODE0) | ~transfer_epoch5(NODE1) | locked_epoch4(NODE2) | ((NODE0 ~= NODE1 | NODE0 = NODE2) & (NODE1 ~= NODE2 | NODE0 = NODE1))","10","-1---------------------0------------1-","7","259","16","1000011030"
